Date, SZ002729.Open, SZ002729.High, SZ002729.Low, SZ002729.Close, SZ002729.Volume, SZ002729.Adjusted
2014/09/12,13.98,16.84,13.98,16.84,48150,17.07
2014/09/15,18.55,18.55,18.55,18.55,8950,18.85
2014/09/16,20.44,20.44,20.44,20.44,23271,20.74
2014/09/17,22.51,22.51,22.51,22.51,35410,22.81
2014/09/18,24.79,24.79,24.79,24.79,82292,25.09
2014/09/19,27.30,27.30,27.30,27.30,113564,27.60
2014/09/22,30.06,30.06,30.06,30.06,505390,30.36
2014/09/23,33.10,33.10,32.78,33.10,4302144,33.40
2014/09/24,35.50,36.30,34.30,35.69,10922361,35.48
2014/09/25,34.26,34.90,33.90,34.59,5946164,34.72
2014/09/26,34.61,37.68,34.42,34.88,6479066,36.16
2014/09/29,34.60,35.59,34.18,35.02,3860416,35.00
2014/09/30,35.27,35.32,34.50,35.07,3180579,35.18
2014/10/08,35.09,37.60,34.90,37.28,5233228,36.91
2014/10/09,36.70,37.00,35.76,36.30,3545476,36.63
2014/10/10,36.20,36.65,35.58,35.69,2552523,36.31
2014/10/13,35.30,35.48,34.80,35.46,1890702,35.43
2014/10/14,35.50,35.96,35.29,35.75,1750574,35.98
2014/10/15,35.75,36.24,35.20,36.07,1991346,36.08
2014/10/16,35.67,36.48,35.44,35.55,2018387,36.24
2014/10/17,35.22,36.50,34.41,35.98,2879408,35.91
2014/10/20,36.05,37.18,35.71,37.18,3248097,37.01
2014/10/21,37.18,39.07,36.70,38.33,4307879,38.19
2014/10/22,37.86,38.32,36.47,36.48,3517877,37.66
2014/10/23,36.30,37.56,36.03,36.82,2261271,37.15
2014/10/24,36.58,37.99,36.30,37.15,2219764,37.68
2014/10/27,37.05,37.05,34.05,34.23,2980722,34.98
2014/10/28,34.55,35.65,34.55,35.58,1831343,35.43
2014/10/29,35.77,37.33,35.77,37.33,2641864,36.97
2014/10/30,37.33,37.88,36.82,36.97,2282624,37.68
2014/10/31,36.73,38.70,36.73,38.36,3497720,38.18
2014/11/03,38.64,41.06,38.38,39.96,3999548,39.95
2014/11/04,39.89,39.89,38.38,38.39,2640594,39.24
2014/11/05,38.07,39.59,37.72,38.91,1786662,39.18
2014/11/06,39.12,42.83,38.95,42.83,3733367,41.44
2014/11/07,44.14,46.58,40.01,43.44,5994069,44.64
2014/11/10,43.40,45.22,42.73,44.80,3931334,44.43
2014/11/11,44.60,49.31,42.90,49.29,5301516,46.08
2014/11/12,47.50,52.20,46.88,50.99,5483952,50.21
2014/11/13,49.10,51.19,47.45,47.45,3881870,49.44
2014/11/14,47.42,47.43,42.68,42.68,3800713,44.49
2014/11/17,41.68,44.50,41.20,43.12,2005934,43.42
2014/11/18,43.29,44.67,42.70,44.20,1627533,44.33
2014/11/19,43.93,44.47,42.26,43.36,1508665,43.86
2014/11/20,42.71,44.30,42.55,43.88,1498652,43.84
2014/11/21,43.79,45.07,43.51,44.04,1852089,44.65
2014/11/24,44.31,45.28,43.70,44.63,1711166,44.86
2014/11/25,44.50,44.58,42.75,43.26,1937087,43.73
2014/11/26,43.27,45.68,43.06,45.60,2393612,44.67
2014/11/27,45.98,49.98,45.98,47.47,3226711,48.38
2014/11/28,46.97,49.20,46.36,48.47,2751156,48.31
2014/12/01,48.58,50.36,47.00,47.60,2352263,48.49
2014/12/02,47.50,51.30,47.50,50.38,3513477,50.01
2014/12/03,50.30,50.30,48.20,49.58,2490495,49.46
2014/12/04,49.54,49.86,48.30,48.58,1931982,48.97
2014/12/05,47.95,48.34,44.70,44.87,2595072,46.07
2014/12/08,44.30,44.78,43.65,43.78,1467512,44.34
2014/12/09,43.48,43.64,39.94,40.00,2074241,41.87
2014/12/10,40.10,41.68,40.05,41.15,1297339,41.41
2014/12/11,41.15,42.17,40.31,41.40,1247781,41.62
2014/12/12,41.55,42.03,41.36,42.02,841212,41.97
2014/12/15,42.10,43.39,41.75,42.88,1042853,43.26
2014/12/16,42.88,43.07,41.51,42.28,991411,42.42
2014/12/17,41.73,42.00,40.58,41.49,927087,41.38
2014/12/18,40.90,41.88,39.70,39.97,899121,41.06
2014/12/19,39.88,39.88,37.21,37.62,1560232,38.18
2014/12/22,36.38,36.51,33.83,33.92,1455369,34.72
2014/12/23,33.91,35.96,33.70,35.15,999206,35.36
2014/12/24,35.50,37.68,35.50,37.60,1279136,37.12
2014/12/25,37.79,37.82,36.34,37.50,898176,37.37
2014/12/26,36.74,37.68,36.74,37.03,530694,37.52
2014/12/29,37.05,37.65,35.35,35.50,677292,36.18
2014/12/30,35.50,36.18,34.70,34.90,583559,35.67
2014/12/31,34.75,35.99,34.62,35.70,559100,35.54
2015/01/05,35.42,35.42,33.83,34.58,746090,34.66
2015/01/06,34.08,35.96,34.08,35.84,920869,35.50
2015/01/07,35.70,35.90,34.80,35.16,493901,35.48
2015/01/08,35.18,35.68,34.82,35.16,474744,35.73
2015/01/09,35.16,35.85,34.94,34.95,564065,35.59
2015/01/12,34.69,34.69,33.27,33.50,703280,34.09
2015/01/13,33.50,34.50,33.04,34.39,584498,34.20
2015/01/14,34.05,34.60,33.95,34.57,595716,34.67
2015/01/15,34.20,34.89,33.80,34.78,717340,34.82
2015/01/16,34.57,36.16,34.41,35.90,916637,35.80
2015/01/19,35.11,37.20,35.11,36.73,1344314,36.67
2015/01/20,36.73,39.66,36.50,39.43,2270957,38.63
2015/01/21,39.60,39.60,38.28,38.75,1551865,39.02
2015/01/22,38.48,39.10,38.41,38.77,826068,39.11
2015/01/23,38.82,39.06,37.31,37.40,1022518,38.13
2015/01/26,37.41,37.80,37.30,37.69,468637,37.86
2015/01/27,37.99,37.99,37.28,37.64,566264,37.83
2015/01/28,37.50,38.18,37.07,37.53,686254,38.04
2015/01/29,37.31,37.89,37.05,37.32,345126,37.80
2015/01/30,37.04,37.67,36.70,36.74,483052,37.39
2015/02/02,36.74,37.06,36.29,36.80,327225,37.00
2015/02/03,37.07,38.10,36.95,37.99,756051,37.99
2015/02/04,38.05,39.09,38.00,38.01,1021749,38.82
2015/02/05,37.75,38.70,37.52,37.54,705531,38.29
2015/02/06,37.35,37.70,34.76,35.41,686902,36.60
2015/02/09,35.15,36.65,35.15,35.51,309930,36.16
2015/02/10,35.52,35.87,35.21,35.50,283266,35.84
2015/02/11,35.50,36.06,35.18,36.00,632504,35.75
2015/02/12,36.03,36.21,35.82,36.07,475069,36.31
2015/02/13,36.38,36.98,36.11,36.85,515849,37.05
2015/02/16,36.90,37.74,36.73,37.64,454122,37.63
2015/02/17,37.60,37.60,36.30,36.82,805147,37.02
2015/02/25,36.82,38.07,36.72,37.80,836569,37.97
2015/02/26,37.78,37.78,37.32,37.67,550031,37.89
2015/02/27,37.80,38.80,37.57,38.76,1182051,38.67
2015/03/02,38.70,41.10,38.46,40.96,1530876,40.20
2015/03/03,40.70,44.75,39.99,44.71,3254735,41.70
2015/03/04,43.20,48.28,42.70,47.70,2754778,46.76
2015/03/05,46.61,47.77,44.97,47.31,1414697,46.88
2015/03/06,46.83,47.78,45.50,46.43,834384,46.58
2015/03/09,46.35,46.40,44.71,45.35,700507,45.58
2015/03/10,45.35,46.70,45.29,46.42,1150103,46.37
2015/03/11,46.70,46.90,45.75,45.99,582318,46.63
2015/03/12,45.89,46.80,45.03,46.70,764893,46.35
2015/03/13,47.07,47.31,46.31,47.05,542767,47.20
2015/03/16,47.12,48.68,47.12,47.88,1026493,48.15
2015/03/17,47.70,47.88,46.55,47.69,851364,47.60
2015/03/18,47.16,47.64,46.71,47.10,831195,47.36
2015/03/19,47.09,50.17,46.16,49.51,1381825,48.13
2015/03/20,49.00,50.05,48.71,49.24,770445,49.60
2015/03/23,48.96,50.70,48.70,50.35,2466913,49.75
2015/03/24,49.89,50.70,46.77,50.70,3660907,48.55
2015/03/25,49.10,53.99,48.73,52.49,2770154,51.37
2015/03/26,52.56,53.54,49.71,49.90,3169203,52.25
2015/03/27,49.56,49.56,47.10,47.85,2431074,48.49
2015/03/30,47.57,47.70,46.77,46.89,1353979,47.44
