Date, SH600405.Open, SH600405.High, SH600405.Low, SH600405.Close, SH600405.Volume, SH600405.Adjusted
2004/04/01,19.00,20.98,18.11,20.26,19081909,18.71
2004/04/02,19.48,19.95,19.31,19.40,8280803,19.58
2004/04/05,19.10,19.78,18.96,19.37,5112558,19.36
2004/04/06,19.48,20.25,19.40,20.05,6102449,19.86
2004/04/07,20.05,20.14,19.41,19.44,3728843,19.70
2004/04/08,19.38,19.64,19.07,19.36,2463712,19.32
2004/04/09,19.34,19.66,19.00,19.12,2050338,19.31
2004/04/12,19.05,19.80,19.01,19.39,2226300,19.51
2004/04/13,19.40,19.72,19.00,19.02,1570000,19.25
2004/04/14,18.90,18.90,17.90,18.08,2563900,18.24
2004/04/15,18.08,18.18,16.30,16.64,2711100,17.03
2004/04/16,16.52,16.80,15.95,16.66,1819300,16.33
2004/04/19,16.67,16.80,16.00,16.08,1076800,16.30
2004/04/20,16.00,16.47,15.90,16.21,753000,16.27
2004/04/21,16.31,16.75,16.13,16.39,844000,16.48
2004/04/22,16.42,16.88,16.42,16.79,947700,16.71
2004/04/23,16.78,16.85,16.26,16.32,611400,16.51
2004/04/26,15.98,15.98,14.69,14.69,1807800,14.93
2004/04/27,14.30,14.59,13.88,14.43,1625000,14.27
2004/04/28,14.28,15.18,14.17,14.91,1648300,14.91
2004/04/29,14.90,14.99,14.60,14.66,785600,14.71
2004/04/30,14.70,15.16,14.62,14.90,674900,14.93
2004/05/10,14.95,14.95,14.30,14.63,399200,14.47
2004/05/11,14.60,14.75,14.30,14.47,447700,14.44
2004/05/12,14.47,15.09,14.32,15.06,785300,14.78
2004/05/13,15.10,15.25,14.88,15.19,803700,15.11
2004/05/14,15.20,15.22,14.59,14.61,628000,14.84
2004/05/17,14.60,14.70,14.33,14.58,304700,14.51
2004/05/18,14.69,15.45,14.69,15.20,1493700,15.16
2004/05/19,15.10,15.30,14.86,14.88,838500,15.15
2004/05/20,14.95,15.00,14.60,14.69,424500,14.78
2004/05/21,14.69,14.75,14.41,14.67,432600,14.58
2004/05/24,14.78,14.88,14.42,14.47,354100,14.52
2004/05/25,14.44,14.44,13.23,13.35,1282700,13.72
2004/05/26,13.70,14.04,13.48,13.76,710500,13.76
2004/05/27,13.62,14.38,13.55,14.30,992400,14.06
2004/05/28,14.30,14.48,14.03,14.10,582100,14.25
