Date, SZ000665.Open, SZ000665.High, SZ000665.Low, SZ000665.Close, SZ000665.Volume, SZ000665.Adjusted
2001/08/08,12.98,13.20,12.89,13.02,224400,13.04
2001/08/09,13.02,13.30,13.00,13.30,1036300,13.10
2001/08/10,13.41,13.65,13.35,13.42,751300,13.47
2001/08/13,13.50,13.54,13.38,13.45,290100,13.47
2001/08/14,13.46,13.67,13.25,13.35,251400,13.47
2001/08/15,13.40,13.58,13.35,13.50,136200,13.46
2001/08/16,13.50,13.50,13.28,13.30,154800,13.38
2001/08/17,13.31,13.46,13.31,13.40,175400,13.41
2001/08/20,13.40,13.51,13.20,13.48,53300,13.45
2001/08/21,13.50,13.62,13.50,13.57,137500,13.58
2001/08/22,13.58,13.58,13.18,13.26,169300,13.27
2001/08/23,13.18,13.30,13.01,13.28,148500,13.14
2001/08/24,13.28,13.37,13.10,13.11,103700,13.19
2001/08/27,13.00,13.00,12.58,12.59,295400,12.72
2001/08/28,12.46,12.80,12.39,12.79,164300,12.55
2001/08/29,12.88,12.95,12.76,12.81,107400,12.89
2001/08/30,12.70,12.76,12.55,12.62,70100,12.66
2001/08/31,12.60,12.85,12.59,12.65,37400,12.68
2001/09/03,12.60,12.85,12.59,12.65,0,12.72
2001/09/04,12.60,13.05,12.60,13.00,198100,12.81
2001/09/05,13.02,13.20,13.00,13.02,142600,13.09
2001/09/06,13.05,13.09,12.87,12.91,64200,12.95
2001/09/07,12.90,12.90,12.36,12.39,269700,12.55
2001/09/10,12.05,12.73,12.05,12.70,161100,12.56
2001/09/11,12.70,12.85,12.70,12.72,122200,12.78
2001/09/12,12.50,12.60,12.20,12.46,207100,12.44
2001/09/13,12.50,12.60,12.45,12.50,81100,12.52
2001/09/14,12.40,12.78,12.40,12.41,145500,12.50
2001/09/17,12.08,12.53,12.05,12.06,174500,12.20
2001/09/18,12.07,12.36,12.07,12.24,129700,12.17
2001/09/19,12.20,12.50,12.13,12.46,107600,12.35
2001/09/20,12.45,12.55,12.40,12.51,186500,12.49
2001/09/21,12.48,12.60,12.46,12.54,185500,12.53
2001/09/24,12.81,12.82,12.50,12.55,562600,12.64
2001/09/25,12.54,12.75,12.50,12.67,158700,12.65
2001/09/26,12.70,12.70,12.30,12.30,137800,12.46
2001/09/27,12.15,12.45,12.15,12.33,87500,12.30
2001/09/28,12.35,12.36,12.20,12.31,87600,12.28
2001/10/08,12.40,12.45,11.80,11.84,110500,12.10
2001/10/09,11.84,12.10,11.84,12.00,112900,12.03
2001/10/10,12.05,12.05,11.42,11.44,150100,11.63
2001/10/11,11.46,11.68,10.80,10.88,197000,11.13
2001/10/12,10.92,11.35,10.40,11.23,277600,10.90
2001/10/15,11.22,11.40,11.00,11.15,128100,11.22
2001/10/16,11.37,11.38,10.91,11.00,102600,11.06
2001/10/17,11.12,11.12,10.80,11.00,55000,10.96
2001/10/18,10.99,11.40,10.65,10.66,138000,10.89
2001/10/19,10.62,10.75,10.20,10.33,205100,10.43
2001/10/22,10.01,10.32,9.58,9.66,171600,10.01
2001/10/23,10.63,10.63,10.43,10.63,302300,10.60
2001/10/24,11.02,11.51,10.91,11.30,952600,11.19
2001/10/25,11.00,11.25,10.86,10.87,300200,11.05
2001/10/26,10.87,11.03,10.75,11.00,211800,10.91
2001/10/29,11.10,11.24,11.00,11.10,155100,11.09
2001/10/30,11.12,11.12,10.90,10.92,88600,11.03
2001/10/31,10.90,10.90,10.75,10.90,95500,10.80
2001/11/01,11.10,11.22,11.05,11.10,108200,11.14
2001/11/02,11.04,11.18,10.97,11.00,201400,11.05
2001/11/05,11.02,11.35,11.01,11.03,137000,11.16
2001/11/06,11.00,11.25,10.88,10.89,63300,11.00
2001/11/07,11.00,11.00,10.00,10.10,344000,10.26
2001/11/08,10.00,10.20,9.80,10.19,194800,10.01
2001/11/09,10.15,10.40,9.98,10.31,115400,10.20
2001/11/12,10.20,10.37,10.20,10.21,55700,10.28
2001/11/13,10.19,10.58,10.00,10.14,165700,10.16
2001/11/14,10.11,10.25,10.10,10.19,134000,10.19
2001/11/15,10.28,10.28,10.10,10.22,35300,10.18
2001/11/16,10.98,11.05,10.45,10.45,407200,10.74
2001/11/19,10.55,10.69,10.45,10.69,141200,10.59
2001/11/20,10.85,11.01,10.71,10.97,456000,10.94
2001/11/21,11.01,11.06,10.92,11.01,266800,11.01
2001/11/22,11.00,11.14,10.96,11.13,229200,11.04
2001/11/23,11.45,11.45,11.09,11.14,203400,11.20
2001/11/26,11.00,11.15,11.00,11.14,174200,11.09
2001/11/27,11.14,11.24,11.05,11.17,133400,11.14
2001/11/28,11.19,11.45,11.17,11.37,402400,11.34
2001/11/29,11.35,11.45,11.30,11.38,212300,11.38
2001/11/30,11.43,11.58,11.42,11.51,209400,11.49
2001/12/03,11.55,11.81,11.55,11.67,447100,11.67
2001/12/04,11.70,11.74,11.55,11.73,233000,11.67
2001/12/05,11.69,11.78,11.40,11.44,394400,11.53
2001/12/06,11.37,11.58,11.35,11.58,260100,11.44
2001/12/07,11.61,11.62,11.40,11.40,184600,11.46
2001/12/10,11.40,11.40,11.22,11.35,136400,11.29
2001/12/11,11.30,11.49,11.21,11.24,153000,11.28
2001/12/12,11.19,11.30,11.10,11.15,131900,11.19
2001/12/13,11.15,11.27,10.90,10.95,176800,11.06
2001/12/14,10.92,10.95,10.61,10.65,200600,10.81
2001/12/17,10.65,10.77,10.53,10.68,65100,10.68
2001/12/18,10.70,10.88,10.60,10.88,112800,10.73
2001/12/19,10.88,10.90,10.70,10.74,117800,10.80
2001/12/20,10.57,10.70,10.37,10.40,268600,10.43
2001/12/21,10.37,10.50,10.37,10.42,91700,10.42
2001/12/24,10.42,10.42,10.13,10.19,99500,10.25
2001/12/25,10.15,10.30,10.13,10.25,60600,10.25
2001/12/26,10.20,10.39,10.10,10.38,79300,10.30
2001/12/27,10.43,10.45,10.28,10.36,131800,10.36
2001/12/28,10.33,10.45,10.25,10.44,87500,10.36
2001/12/31,10.49,10.58,10.40,10.48,100000,10.48
2002/01/04,10.47,10.55,10.30,10.31,61500,10.37
2002/01/07,10.20,10.28,10.10,10.11,72700,10.13
2002/01/08,10.10,10.20,10.01,10.04,71300,10.12
2002/01/09,10.05,10.05,9.80,9.88,94800,9.89
2002/01/10,9.86,9.86,9.36,9.73,222900,9.58
2002/01/11,9.80,9.80,9.41,9.42,94700,9.55
2002/01/14,9.31,9.31,8.90,8.92,243000,9.03
2002/01/15,8.93,9.01,8.60,8.63,150800,8.78
2002/01/16,8.63,8.86,8.60,8.86,144500,8.75
2002/01/17,8.57,8.57,7.97,8.08,425600,8.13
2002/01/18,7.92,8.19,7.81,8.08,243900,8.02
2002/01/21,8.05,8.05,7.45,7.62,211600,7.63
2002/01/22,7.66,8.13,7.66,7.90,585600,7.91
2002/01/23,7.88,8.69,7.71,8.65,551600,8.20
2002/01/24,8.50,9.06,8.30,8.86,894900,8.77
2002/01/25,8.85,8.90,8.65,8.79,339200,8.74
2002/01/28,8.90,8.90,7.92,7.96,452400,8.41
2002/01/29,7.91,8.32,7.80,8.27,240400,8.19
2002/01/30,8.30,8.48,8.19,8.36,219900,8.34
2002/01/31,8.50,9.13,8.50,9.08,662600,8.96
