Date, SH600188.Open, SH600188.High, SH600188.Low, SH600188.Close, SH600188.Volume, SH600188.Adjusted
2001/08/08,10.93,11.00,10.80,11.00,471100,5157260.00
2001/08/09,11.00,11.23,11.00,11.20,706000,7889924.00
2001/08/10,11.25,11.36,11.20,11.24,745400,8407587.00
2001/08/13,11.26,11.35,11.16,11.26,755200,8494241.00
2001/08/14,11.30,11.35,11.00,11.09,846400,9442894.00
2001/08/15,11.08,11.30,11.08,11.24,406800,4563161.00
2001/08/16,11.24,11.31,10.98,10.99,609500,6750979.00
2001/08/17,11.00,11.11,10.99,11.09,436800,4825109.00
2001/08/20,11.09,11.17,10.93,11.11,314700,3484990.00
2001/08/21,11.18,11.28,11.11,11.19,714000,7999025.00
2001/08/22,11.17,11.17,10.88,11.09,626900,6931123.00
2001/08/23,10.98,11.09,10.77,11.09,975600,10648775.00
2001/08/24,11.09,11.10,10.80,11.09,588500,6448019.00
2001/08/27,10.28,10.90,10.28,10.75,648800,6883168.00
2001/08/28,10.60,10.98,10.40,10.98,744900,7925236.00
2001/08/29,10.98,10.98,10.70,10.88,453100,4908570.00
2001/08/30,10.80,10.80,10.50,10.61,306700,3266436.00
2001/08/31,10.65,10.65,10.40,10.42,707500,7429067.00
2001/09/03,10.37,10.40,10.00,10.03,1251500,12690288.00
2001/09/04,10.03,10.28,9.95,10.28,2428700,24477942.00
2001/09/05,10.37,10.52,10.20,10.23,835700,8640039.00
2001/09/06,10.25,10.34,10.20,10.24,301500,3094310.00
2001/09/07,10.18,10.22,9.94,9.97,1789000,17906136.00
2001/09/10,9.80,10.16,9.50,10.10,1412700,14115563.00
2001/09/11,10.10,10.21,9.90,10.13,502400,5084389.00
2001/09/12,10.13,10.65,9.96,10.40,4654300,48450900.00
2001/09/13,10.42,10.50,10.22,10.23,694800,7159941.00
2001/09/14,10.20,10.29,10.01,10.10,732400,7399487.00
2001/09/17,10.08,10.32,10.04,10.18,1080500,11060832.00
2001/09/18,10.15,10.30,10.11,10.21,300000,3062496.00
2001/09/19,10.25,10.35,10.18,10.30,549100,5626564.00
2001/09/20,10.41,10.51,10.32,10.36,1033100,10774894.00
2001/09/21,10.20,10.46,10.20,10.30,453600,4694609.00
2001/09/24,10.26,10.37,10.12,10.22,350000,3590752.00
2001/09/25,10.30,10.35,10.07,10.20,538400,5451684.00
2001/09/26,10.30,10.30,10.05,10.07,713100,7201092.00
2001/09/27,10.20,10.20,10.00,10.10,480300,4835805.00
2001/09/28,10.20,10.20,10.08,10.11,274000,2769087.00
2001/10/08,10.10,10.25,9.82,10.00,508800,5125154.00
2001/10/09,10.00,10.18,10.00,10.13,279900,2831012.00
2001/10/10,10.15,10.15,9.80,9.84,572700,5678535.00
2001/10/11,9.80,9.95,9.48,9.49,716600,6903769.00
2001/10/12,9.49,9.90,9.00,9.66,1161000,10945673.00
2001/10/15,9.76,9.76,9.45,9.51,529100,5056299.00
2001/10/16,9.68,10.02,9.45,9.69,5575500,53775736.00
2001/10/17,9.65,9.65,9.28,9.30,1285200,12018424.00
2001/10/18,9.30,9.37,8.98,9.14,1498700,13635149.00
2001/10/19,9.01,9.09,8.60,8.65,1866400,16469554.00
2001/10/22,8.50,8.88,8.28,8.88,2553000,21845508.00
2001/10/23,9.77,9.77,9.47,9.77,5203300,50476780.00
2001/10/24,10.20,10.25,9.78,10.01,7827600,78740488.00
2001/10/25,10.00,10.00,9.62,9.70,1724900,16846616.00
2001/10/26,9.70,9.70,9.51,9.64,849600,8158605.00
2001/10/29,9.63,9.91,9.63,9.89,672400,6599166.00
2001/10/30,9.90,9.99,9.80,9.85,575600,5686403.00
2001/10/31,9.61,10.03,9.61,9.91,413600,4045082.00
2001/11/01,9.93,10.15,9.88,10.01,1627600,16305553.00
2001/11/02,10.05,10.05,9.83,9.89,706500,7015344.00
2001/11/05,9.69,9.96,9.69,9.92,348800,3416358.00
2001/11/06,9.90,10.25,9.71,9.94,4370500,43489124.00
2001/11/07,9.80,10.00,9.45,9.81,2614500,25579164.00
2001/11/08,9.65,9.97,9.50,9.81,1431900,14040404.00
2001/11/09,9.80,9.92,9.46,9.81,1229400,11899753.00
2001/11/12,9.89,9.90,9.66,9.68,305300,2986166.00
2001/11/13,9.62,9.75,9.53,9.56,425500,4086060.00
2001/11/14,9.64,9.91,9.60,9.79,642400,6274265.00
2001/11/15,9.80,9.90,9.65,9.87,428900,4195534.00
2001/11/16,10.86,10.86,9.95,9.96,4273000,44025076.00
2001/11/19,10.01,10.21,10.01,10.19,1429600,14497542.00
2001/11/20,10.51,10.51,10.21,10.28,2883600,29842224.00
2001/11/21,10.29,10.44,10.21,10.27,2598600,26821358.00
2001/11/22,10.05,10.40,10.05,10.28,1623300,16645393.00
2001/11/23,10.30,10.35,10.06,10.21,2088900,21230534.00
2001/11/26,10.28,10.48,10.18,10.47,2500200,25967754.00
2001/11/27,10.45,10.60,10.42,10.53,3478000,36645976.00
2001/11/28,10.60,10.62,10.46,10.51,2082700,21934276.00
2001/11/29,10.50,10.56,10.44,10.50,1421500,14911577.00
2001/11/30,10.50,10.58,10.50,10.53,1086800,11459234.00
2001/12/03,10.55,10.80,10.51,10.78,6321900,67342440.00
2001/12/04,10.80,10.95,10.65,10.88,4429600,48023300.00
2001/12/05,10.88,10.94,10.60,10.62,2059700,22247420.00
2001/12/06,10.60,10.74,10.54,10.67,1273900,13564337.00
2001/12/07,10.72,10.85,10.63,10.82,2554900,27459670.00
2001/12/10,10.83,10.99,10.77,10.91,2470200,26969056.00
2001/12/11,10.99,10.99,10.58,10.60,2586200,27777880.00
2001/12/12,10.60,10.60,10.30,10.41,3860200,40234184.00
2001/12/13,10.40,10.61,10.35,10.55,2963400,31144762.00
2001/12/14,10.65,10.78,10.40,10.44,3954600,42052172.00
2001/12/17,10.65,10.78,10.40,10.44,0,0.00
2001/12/18,10.50,10.60,10.15,10.52,3379200,34768136.00
2001/12/19,10.55,10.73,10.40,10.49,3063800,32513424.00
2001/12/20,10.43,10.43,10.19,10.19,1142600,11745121.00
2001/12/21,10.15,10.48,10.07,10.45,3555000,36058916.00
2001/12/24,10.46,10.57,10.19,10.28,2707000,28201776.00
2001/12/25,10.38,10.40,10.23,10.32,724700,7477929.00
2001/12/26,10.32,10.46,10.26,10.43,626600,6504835.00
2001/12/27,10.46,10.55,10.40,10.42,955000,10013979.00
2001/12/28,10.40,10.50,10.31,10.45,1112100,11585509.00
2001/12/31,10.44,10.63,10.44,10.51,982400,10358803.00
2002/01/04,10.50,10.55,10.26,10.27,460800,4774863.00
