Date, 600382.Open, 600382.High, 600382.Low, 600382.Close, 600382.Volume, 600382.Adjusted
2001/08/08,14.43,14.43,14.10,14.30,503900,7168540.00
2001/08/09,14.33,14.75,14.30,14.68,340500,4966905.00
2001/08/10,14.72,14.95,14.70,14.85,487500,7220513.00
2001/08/13,14.82,14.90,14.70,14.80,255400,3777202.00
2001/08/14,14.75,14.75,14.50,14.56,162100,2360783.00
2001/08/15,14.52,14.78,14.52,14.75,172300,2523183.00
2001/08/16,14.80,14.87,14.55,14.58,255400,3748774.00
2001/08/17,14.50,14.61,14.35,14.40,235800,3405055.00
2001/08/20,14.40,14.60,14.40,14.53,95700,1389160.00
2001/08/21,14.54,14.79,14.54,14.69,123000,1807949.00
2001/08/22,14.69,14.69,14.31,14.37,283500,4078289.00
2001/08/23,14.30,14.51,14.07,14.46,243100,3469497.00
2001/08/24,14.50,14.57,14.20,14.25,162000,2321565.00
2001/08/27,14.05,14.17,13.85,14.02,459200,6429361.00
2001/08/28,13.95,14.15,13.70,14.15,334900,4669854.00
2001/08/29,14.18,14.26,14.10,14.19,174600,2478832.00
2001/08/30,14.25,14.25,14.00,14.05,76800,1080931.00
2001/08/31,14.05,14.18,14.02,14.03,79900,1124033.00
2001/09/03,14.00,14.00,13.70,13.73,247000,3411369.00
2001/09/04,13.69,14.13,13.65,14.10,195700,2733546.00
2001/09/05,14.16,14.42,14.15,14.23,243800,3485127.00
2001/09/06,14.32,14.32,14.11,14.13,106300,1508528.00
2001/09/07,14.10,14.10,13.78,13.79,258900,3588738.00
2001/09/10,13.60,14.23,13.58,14.13,163400,2290245.00
2001/09/11,14.15,14.18,14.02,14.11,154400,2176466.00
2001/09/12,13.80,14.08,13.60,13.91,233500,3247822.00
2001/09/13,13.94,14.10,13.85,13.89,176100,2464185.00
2001/09/14,13.89,14.20,13.89,13.93,238700,3336500.00
2001/09/17,13.90,13.90,13.64,13.67,181300,2486976.00
2001/09/18,13.60,14.00,13.60,13.77,93000,1278059.00
2001/09/19,13.70,14.00,13.64,13.97,82600,1139098.00
2001/09/20,13.97,14.10,13.81,13.82,181200,2537322.00
2001/09/21,13.81,13.86,13.70,13.70,111700,1536647.00
2001/09/24,13.72,13.80,13.63,13.66,90900,1245192.00
2001/09/25,13.70,13.84,13.65,13.68,81700,1118774.00
2001/09/26,13.80,13.80,13.40,13.41,235000,3174685.00
2001/09/27,13.40,13.55,13.27,13.40,113000,1514674.00
2001/09/28,13.50,13.50,12.60,12.88,359300,4656554.00
2001/10/08,12.88,12.98,12.10,12.15,303000,3747679.00
2001/10/09,12.15,12.37,12.01,12.30,211200,2590005.00
2001/10/10,12.31,12.31,11.60,11.60,295800,3482918.00
2001/10/11,11.47,11.70,10.80,10.92,852000,9473697.00
2001/10/12,10.90,12.01,10.70,11.99,1781000,20722376.00
2001/10/15,11.96,12.19,11.63,11.96,777300,9255691.00
2001/10/16,11.92,11.94,11.50,11.50,407100,4749317.00
2001/10/17,11.45,11.79,11.25,11.56,298200,3431745.00
2001/10/18,11.31,11.63,11.20,11.30,282300,3223601.00
2001/10/19,11.20,11.55,11.00,11.22,631600,7063549.00
2001/10/22,11.00,11.49,10.80,11.09,415300,4647898.00
2001/10/23,12.20,12.20,11.96,12.20,1488900,18131838.00
2001/10/24,12.89,13.34,12.50,13.02,3583900,46527588.00
2001/10/25,13.00,13.00,12.50,12.61,809700,10319176.00
2001/10/26,12.50,12.70,12.33,12.68,538500,6753334.00
2001/10/29,12.69,12.93,12.69,12.83,354500,4546682.00
2001/10/30,12.80,12.88,12.50,12.51,271200,3421570.00
2001/10/31,12.49,12.60,12.30,12.60,249900,3099090.00
2001/11/01,12.65,12.88,12.60,12.76,252000,3211518.00
2001/11/02,12.61,12.72,12.47,12.50,340700,4281916.00
2001/11/05,12.47,12.50,12.31,12.38,129500,1605827.00
2001/11/06,12.35,12.42,12.23,12.23,141300,1746168.00
2001/11/07,12.20,12.30,11.45,11.48,471600,5574528.00
2001/11/08,11.31,11.75,11.19,11.64,345400,3969286.00
2001/11/09,11.60,11.99,11.43,11.83,227200,2664906.00
2001/11/12,11.82,12.00,11.71,11.73,144100,1707444.00
2001/11/13,11.58,11.75,11.48,11.63,114300,1330073.00
2001/11/14,11.81,11.85,11.70,11.70,135800,1597563.00
2001/11/15,11.75,11.78,11.61,11.67,71800,839628.00
2001/11/16,12.79,12.84,12.00,12.03,995700,12270765.00
2001/11/19,12.03,12.45,12.00,12.43,245000,3018315.00
2001/11/20,12.18,12.74,12.18,12.66,559300,7065421.00
2001/11/21,12.66,12.70,12.48,12.60,328500,4132602.00
2001/11/22,12.75,12.75,12.56,12.71,351500,4454608.00
2001/11/23,12.76,12.79,12.50,12.60,214400,2704698.00
2001/11/26,12.55,12.55,12.38,12.43,161600,2010655.00
2001/11/27,12.40,12.70,12.40,12.70,190700,2398432.00
2001/11/28,12.72,12.92,12.68,12.79,485500,6207013.00
2001/11/29,12.79,12.85,12.65,12.72,239900,3060898.00
2001/11/30,12.70,12.91,12.70,12.90,313200,4021564.00
2001/12/03,12.97,13.08,12.86,12.99,444700,5775988.00
2001/12/04,12.95,13.07,12.88,13.05,306000,3970094.00
2001/12/05,12.99,13.00,12.65,12.67,443400,5694271.00
2001/12/06,12.62,12.83,12.51,12.83,195200,2476082.00
2001/12/07,12.83,12.83,12.65,12.71,174200,2218822.00
2001/12/10,12.71,12.75,12.56,12.70,93600,1181947.00
2001/12/11,12.80,12.81,12.55,12.55,143900,1826233.00
2001/12/12,12.50,12.55,12.31,12.32,258800,3222892.00
2001/12/13,12.29,12.44,12.00,12.00,265900,3253530.00
2001/12/14,11.92,12.12,11.92,11.97,279300,3353026.00
2001/12/17,11.97,11.98,11.82,11.88,129400,1541498.00
2001/12/18,11.88,12.20,11.83,12.11,180000,2164458.00
2001/12/19,12.14,12.20,12.05,12.06,157700,1909824.00
2001/12/20,11.95,11.95,11.62,11.70,209900,2470326.00
2001/12/21,11.66,11.85,11.59,11.81,137100,1602203.00
2001/12/24,11.70,11.83,11.38,11.50,183600,2119835.00
2001/12/25,11.50,11.69,11.40,11.60,152200,1756217.00
2001/12/26,11.59,11.80,11.52,11.80,119100,1391531.00
2001/12/27,11.80,11.89,11.71,11.76,147700,1741916.00
2001/12/28,11.75,11.90,11.74,11.88,129700,1533639.00
2001/12/31,11.95,12.10,11.80,11.89,152800,1825067.00
2002/01/04,11.91,11.91,11.40,11.51,165200,1915999.00
2002/01/07,11.41,11.50,11.36,11.42,178600,2037778.00
2002/01/08,11.42,11.58,11.36,11.38,74400,851910.00
2002/01/09,11.30,11.38,11.10,11.24,162200,1820038.00
2002/01/10,11.20,11.48,11.02,11.44,294000,3276818.00
2002/01/11,11.40,11.41,11.00,11.01,112400,1258636.00
2002/01/14,10.94,10.95,10.60,10.67,369300,3984775.00
2002/01/15,10.57,10.72,10.20,10.24,267300,2797822.00
2002/01/16,10.30,10.58,10.06,10.42,231300,2398798.00
2002/01/17,10.32,10.32,9.88,9.91,282400,2840807.00
2002/01/18,9.80,10.05,9.55,9.82,424600,4168509.00
2002/01/21,9.68,9.80,9.01,9.02,350800,3272601.00
2002/01/22,9.00,9.48,8.67,8.78,377900,3409414.00
2002/01/23,8.80,9.66,8.60,9.66,442900,4062590.00
2002/01/24,9.59,10.10,9.15,9.88,860500,8446299.00
2002/01/25,9.59,10.10,9.15,9.88,0,0.00
2002/01/28,9.84,9.88,8.98,8.99,541700,5062596.00
2002/01/29,8.80,9.38,8.70,9.27,277000,2547362.00
2002/01/30,9.22,9.40,9.18,9.29,169500,1577293.00
2002/01/31,9.50,10.22,9.50,10.14,925600,9285764.00
2002/02/01,10.16,10.38,10.08,10.14,769300,7860467.00
2002/02/04,10.11,10.35,9.92,10.32,365800,3731886.00
2002/02/05,10.30,10.35,10.10,10.23,316400,3234566.00
2002/02/06,10.23,10.23,9.90,9.92,333700,3342414.00
