Date, SZ300266.Open, SZ300266.High, SZ300266.Low, SZ300266.Close, SZ300266.Volume, SZ300266.Adjusted
2011/09/27,29.88,30.00,28.02,29.87,9636401,281067104.00
2011/09/28,29.20,30.48,27.53,27.95,5569654,160343728.00
2011/09/29,27.00,27.65,25.80,26.31,3368450,89889800.00
2011/09/30,26.31,26.68,24.45,24.80,2757954,69878976.00
2011/10/10,25.00,25.44,24.63,25.11,2036005,50978040.00
2011/10/11,25.83,26.49,24.88,25.25,2597535,67051172.00
2011/10/12,25.00,26.40,23.77,26.10,2967317,75531832.00
2011/10/13,26.20,26.90,25.97,26.58,3028807,80154344.00
2011/10/14,26.60,27.13,26.16,27.08,2640984,70627808.00
2011/10/17,27.20,28.96,27.05,28.19,3826039,107346280.00
2011/10/18,27.80,28.78,27.68,27.85,3548002,100215096.00
2011/10/19,28.79,30.64,28.39,28.92,4893206,144428048.00
2011/10/20,27.85,28.24,26.40,28.22,3449715,94183904.00
2011/10/21,27.90,29.16,27.62,28.22,2872629,81613872.00
2011/10/24,27.85,29.15,25.48,28.80,3413596,93820752.00
2011/10/25,28.21,31.60,28.00,29.58,6295409,188829824.00
2011/10/26,28.51,29.45,28.23,28.63,4666223,134557264.00
2011/10/27,30.13,31.49,29.53,31.49,4788026,146818784.00
2011/10/28,32.98,34.64,32.21,34.30,6605558,220659872.00
2011/10/31,33.80,35.36,33.51,35.05,4388981,150125056.00
2011/11/01,34.32,34.50,33.34,33.85,2997747,101779632.00
2011/11/02,32.98,36.00,32.93,35.40,4140546,141206272.00
2011/11/03,34.90,34.90,33.62,33.66,3266838,111968976.00
2011/11/04,33.88,34.65,33.52,33.97,2036802,69380152.00
2011/11/07,33.66,34.19,33.25,33.71,1366568,46092752.00
2011/11/08,33.70,33.99,32.00,32.00,1924463,63423196.00
2011/11/09,32.15,33.28,31.60,33.07,2211607,71851032.00
2011/11/10,32.55,33.98,32.00,32.01,2718450,89976136.00
2011/11/11,32.02,32.50,31.59,31.76,1583415,50581592.00
2011/11/14,32.18,34.94,32.18,34.94,2402434,81305488.00
2011/11/15,35.80,36.85,35.12,36.85,4458759,160161904.00
2011/11/16,36.80,36.80,35.36,35.91,2878014,103662712.00
2011/11/17,36.12,39.48,35.63,37.79,3668160,137387456.00
2011/11/18,37.10,38.87,36.56,37.04,2854638,107635768.00
2011/11/21,36.70,37.26,34.11,35.79,2901318,102616168.00
2011/11/22,35.12,36.30,34.88,36.16,2111464,75034336.00
2011/11/23,36.25,38.18,35.73,36.98,2506142,92526864.00
2011/11/24,36.25,39.59,36.07,38.88,2659137,100946056.00
2011/11/25,38.43,39.30,37.85,38.40,1924229,74235304.00
2011/11/28,38.63,38.94,37.49,38.03,1335811,50948808.00
2011/11/29,38.38,38.54,36.40,36.98,2031539,75335968.00
2011/11/30,37.00,37.30,34.00,35.07,1972238,70403088.00
2011/12/01,36.10,37.66,35.73,36.45,2395943,87842128.00
2011/12/02,36.23,36.23,34.02,34.03,1880361,65718900.00
2011/12/05,33.05,34.30,32.12,33.48,1423353,47517384.00
2011/12/06,33.46,34.95,33.05,34.46,1399459,47850184.00
2011/12/07,34.08,34.60,33.00,33.60,1571294,52825036.00
2011/12/08,33.52,35.50,32.52,33.98,1855590,63372960.00
2011/12/09,33.33,34.90,33.27,34.50,1400883,48027180.00
2011/12/12,34.37,34.37,33.38,33.38,755941,25586612.00
2011/12/13,33.22,33.23,31.50,31.89,1057218,33965072.00
2011/12/14,31.90,32.30,30.80,30.80,1014257,32006222.00
2011/12/15,30.00,31.17,29.99,30.20,1092746,33320652.00
2011/12/16,30.29,31.44,29.01,31.37,1586266,48427612.00
2011/12/19,30.78,32.27,30.35,31.88,1457299,45334672.00
2011/12/20,31.25,32.10,30.61,30.67,1108697,34851088.00
2011/12/21,31.00,31.79,29.81,29.88,1153637,35730036.00
2011/12/22,29.79,30.71,28.21,30.27,1453430,42604876.00
2011/12/23,29.89,30.45,29.61,29.79,769976,23100370.00
2011/12/26,29.89,30.93,29.70,29.84,636117,19295902.00
2011/12/27,29.51,29.83,26.90,27.04,2383750,67136680.00
2011/12/28,26.70,27.09,26.08,26.92,2024245,53543048.00
2011/12/29,26.64,27.15,26.15,26.19,1100201,29307462.00
2011/12/30,26.30,27.34,26.30,26.93,1511092,40724456.00
2012/01/04,27.20,27.88,25.61,25.84,1607714,43676572.00
2012/01/05,25.30,26.18,24.70,25.25,1309957,33262786.00
2012/01/06,25.20,27.19,25.03,26.80,1668565,43574760.00
2012/01/09,26.55,28.18,26.31,28.01,1901578,52121072.00
2012/01/10,27.80,28.85,27.70,28.68,1818410,51500360.00
2012/01/11,28.46,29.62,28.17,28.70,1537702,44495360.00
2012/01/12,28.56,28.97,27.88,28.29,1370939,38857724.00
2012/01/13,28.55,29.27,26.86,26.92,1624664,45474084.00
2012/01/16,26.30,26.45,25.45,25.46,1044206,27109460.00
2012/01/17,25.46,27.59,25.05,27.39,1141571,30111166.00
2012/01/18,27.34,27.84,24.80,25.07,1164398,30998226.00
2012/01/19,23.11,24.30,22.56,23.80,2429568,56301720.00
2012/01/20,23.58,24.58,23.30,23.82,1219869,29252520.00
2012/01/30,23.87,25.95,23.40,24.73,1389571,34273536.00
2012/01/31,24.43,24.77,24.00,24.60,752978,18390370.00
2012/02/01,24.68,25.60,24.50,24.63,1058265,26497120.00
2012/02/02,24.71,25.49,24.71,25.49,1203767,30329090.00
2012/02/03,25.46,25.86,25.30,25.79,1064533,27303926.00
2012/02/06,25.80,26.28,25.52,25.98,983382,25415270.00
2012/02/07,25.94,25.94,24.70,24.94,1048907,26398116.00
2012/02/08,24.80,25.69,24.73,25.61,920906,23210656.00
2012/02/09,25.65,26.38,25.54,25.81,1086266,28191726.00
2012/02/10,25.70,26.15,25.63,25.97,974724,25249066.00
2012/02/13,25.89,28.57,25.72,28.57,3572844,99509968.00
2012/02/14,28.34,28.58,27.88,28.10,2089837,58724276.00
2012/02/15,28.05,28.46,27.80,28.30,1533419,43165428.00
2012/02/16,28.30,28.49,27.83,28.11,1031543,29014426.00
2012/02/17,28.00,28.26,27.31,27.60,1118747,31060504.00
2012/02/20,27.88,28.77,27.70,27.82,1457094,41117796.00
2012/02/21,27.72,28.88,27.58,28.86,1993545,56576628.00
2012/02/22,28.86,29.38,28.52,29.17,2339844,67999432.00
2012/02/23,29.02,30.79,28.90,29.76,2153142,64261920.00
2012/02/24,29.66,30.42,29.32,29.76,1467350,43656212.00
2012/02/27,29.66,30.33,29.38,29.42,1538760,45840708.00
2012/02/28,29.12,30.33,29.00,30.00,1661288,49405640.00
2012/02/29,29.59,29.60,27.02,27.85,2151982,60760724.00
2012/03/01,27.80,28.19,27.41,28.00,1137967,31623570.00
2012/03/02,28.00,28.55,27.90,28.52,1137258,32122774.00
2012/03/05,28.59,28.80,28.03,28.23,1154345,32722960.00
2012/03/06,28.28,28.28,26.90,27.40,1311754,35900588.00
2012/03/07,27.03,28.20,26.96,27.60,1006441,27776224.00
2012/03/08,27.63,28.08,27.60,27.99,937116,26139572.00
2012/03/09,28.29,28.95,27.99,28.92,1511991,43272872.00
2012/03/12,28.93,29.28,28.68,29.23,1064716,30919518.00
2012/03/13,29.27,29.27,28.30,29.27,946231,27437618.00
2012/03/14,29.28,30.50,27.60,27.90,1693632,49355564.00
2012/03/15,28.19,28.28,27.24,27.90,1118885,31214382.00
2012/03/16,27.93,30.69,27.93,30.26,3747886,112846920.00
2012/03/19,29.90,30.49,29.51,30.48,1961557,58909648.00
2012/03/20,30.35,30.44,29.29,29.36,1428614,42499316.00
2012/03/21,29.60,30.44,28.03,29.17,1558420,45581372.00
2012/03/22,29.00,30.00,28.61,29.80,872205,25454348.00
2012/03/23,29.40,30.80,29.31,30.30,1738573,52425712.00
2012/03/26,30.10,31.50,29.53,31.20,1913763,57970220.00
2012/03/27,31.08,31.60,30.13,30.13,1880134,58169984.00
2012/03/28,29.70,29.70,27.25,28.02,1943910,54475356.00
2012/03/29,26.70,26.80,25.60,25.86,1553264,40613416.00
2012/03/30,25.96,26.11,24.01,24.80,1252906,31358246.00
2012/04/05,24.82,25.68,24.50,25.56,786342,19887654.00
2012/04/06,25.58,25.83,25.20,25.57,700377,17875208.00
2012/04/09,25.53,25.85,24.81,24.90,562180,14268560.00
2012/04/10,24.66,25.08,23.60,25.08,800900,19400118.00
2012/04/11,24.70,25.13,24.36,24.93,475141,11794509.00
2012/04/12,25.11,26.10,24.81,26.00,1005411,25769010.00
2012/04/13,26.06,26.28,25.72,26.01,766895,19923336.00
2012/04/16,25.75,26.18,25.70,25.89,480717,12473831.00
2012/04/17,25.85,26.01,25.14,25.18,627326,15894159.00
2012/04/18,25.37,25.90,24.88,25.82,678277,17225626.00
2012/04/19,25.70,26.02,25.60,25.83,502426,12957597.00
2012/04/20,25.70,26.02,25.60,25.83,0,0.00
2012/04/23,26.07,26.27,23.60,23.60,1279530,31339068.00
2012/04/24,23.58,23.74,22.40,23.23,899775,20801498.00
2012/04/25,23.18,23.47,22.85,23.21,513508,11843688.00
2012/04/26,23.18,23.28,22.61,22.93,647239,14837512.00
2012/04/27,22.94,24.07,22.83,23.88,765892,18029848.00
2012/05/02,23.98,25.25,23.98,24.74,834109,20591338.00
2012/05/03,24.78,24.80,24.37,24.73,426182,10466240.00
2012/05/04,24.89,25.46,24.88,25.24,719249,18117950.00
2012/05/07,15.30,16.26,15.20,16.00,1405241,22392430.00
2012/05/08,16.18,16.61,15.70,15.92,1670162,26975772.00
2012/05/09,15.86,17.51,15.82,16.39,3455939,58259836.00
2012/05/10,16.04,16.41,16.01,16.26,2016126,32627164.00
2012/05/11,16.23,16.45,15.91,16.23,1487724,24146714.00
2012/05/14,16.30,16.79,15.90,16.35,1722771,28122998.00
2012/05/15,16.00,16.13,15.69,15.95,1106828,17643370.00
2012/05/16,15.80,16.05,15.41,15.41,1050740,16498670.00
2012/05/17,15.25,15.75,15.25,15.59,790863,12277510.00
2012/05/18,15.58,16.17,15.58,15.83,1606845,25569426.00
2012/05/21,15.66,15.81,14.98,15.34,1462946,22318564.00
2012/05/22,15.36,15.80,15.26,15.77,893152,13843889.00
2012/05/23,15.60,15.84,15.40,15.68,728397,11357439.00
2012/05/24,15.52,15.68,15.26,15.31,661784,10244300.00
2012/05/25,15.40,15.69,15.05,15.28,824349,12650697.00
2012/05/28,15.48,15.74,15.10,15.73,1536261,23813200.00
2012/05/29,15.90,15.90,15.45,15.87,1530346,24057804.00
2012/05/30,15.86,16.98,15.67,16.30,2975972,49000108.00
2012/05/31,16.11,17.30,16.11,16.99,3850902,64857520.00
2012/06/01,16.95,17.08,16.48,16.68,2139172,35741384.00
2012/06/04,16.30,16.62,15.81,15.95,1930074,31114924.00
2012/06/05,16.16,16.28,15.76,16.10,1535657,24651274.00
2012/06/06,16.45,16.45,15.83,15.90,931912,14973887.00
2012/06/07,16.11,16.59,15.94,16.09,1579685,25699172.00
2012/06/08,16.25,16.25,15.54,15.76,1631110,25828194.00
2012/06/11,15.60,17.34,15.60,17.34,3486353,58658320.00
2012/06/12,18.66,19.07,18.23,19.07,8971322,169089552.00
2012/06/13,19.20,20.87,19.01,19.99,11631990,228205632.00
2012/06/14,20.00,20.28,19.68,19.88,5869441,116876448.00
2012/06/15,20.00,20.20,18.88,19.48,6426006,126075560.00
2012/06/18,19.48,20.86,19.30,19.70,7366539,147023376.00
2012/06/19,19.25,20.29,18.91,20.25,6715326,129710496.00
2012/06/20,20.03,22.28,20.01,22.28,7389022,160897696.00
2012/06/21,23.01,23.32,20.38,20.78,9056910,195427712.00
2012/06/25,20.10,20.44,19.00,19.00,5102755,100743336.00
2012/06/26,18.61,19.14,18.38,18.74,3726722,69894216.00
2012/06/27,18.82,19.20,18.41,18.45,4276238,80514576.00
2012/06/28,18.41,19.18,18.22,18.41,4407502,82628056.00
2012/06/29,18.41,19.00,17.69,18.89,3920511,71818448.00
2012/07/02,19.00,19.77,18.80,19.46,4541283,87663256.00
2012/07/03,19.48,20.29,19.26,20.03,4822006,95146584.00
2012/07/04,19.90,20.68,18.95,19.01,4398314,86528024.00
2012/07/05,18.75,19.48,18.40,18.88,3124938,59290456.00
2012/07/06,18.85,18.85,17.75,18.58,3569661,65181492.00
2012/07/09,18.22,18.31,16.96,17.08,3101956,55007052.00
2012/07/10,17.08,17.47,16.70,16.80,1967995,33683412.00
2012/07/11,16.80,17.20,16.48,17.20,1359513,23018224.00
2012/07/12,17.23,17.54,17.01,17.40,1860907,32205580.00
2012/07/13,17.12,17.26,15.93,16.13,3934921,64855520.00
2012/07/16,16.14,16.24,15.30,15.37,2114329,33039248.00
2012/07/17,15.37,15.95,15.34,15.69,1268783,19836424.00
2012/07/18,15.76,16.25,15.52,16.16,1607729,25400430.00
2012/07/19,16.16,16.59,16.04,16.35,2199405,35898400.00
2012/07/20,16.28,16.35,16.00,16.05,1100968,17820156.00
2012/07/23,16.07,16.50,15.80,16.11,1117265,18053058.00
2012/07/24,15.80,16.47,15.80,16.26,1962929,31849650.00
2012/07/25,16.20,17.07,16.12,16.47,2929697,48823624.00
2012/07/26,16.30,16.69,16.14,16.14,1513920,24784280.00
2012/07/27,16.28,16.28,15.60,15.90,1317336,20968566.00
2012/07/30,15.88,16.14,15.37,15.48,1178271,18602930.00
2012/07/31,15.47,15.47,14.16,14.44,1851319,27245726.00
2012/08/01,14.33,14.83,14.33,14.77,1283732,18820188.00
2012/08/02,14.63,15.08,14.36,14.95,1479723,21727566.00
2012/08/03,14.87,15.33,14.72,15.27,1584477,23900162.00
2012/08/06,15.06,16.80,15.06,16.22,2722178,43373956.00
2012/08/07,16.15,16.48,15.96,16.24,1879058,30484628.00
2012/08/08,16.24,16.47,15.96,16.10,1325979,21456984.00
2012/08/09,16.10,16.45,15.95,16.41,1912794,31123080.00
