Date,SH600734.Close
2012/01/01,4.42
2012/01/02,4.915
2012/01/03,5.105
2012/02/01,5.21
2012/02/02,5.785
2012/02/03,6.1
2012/03/01,6.15
2012/03/02,5.74
2012/03/03,5.555
2012/04/01,5.39
2012/04/02,5.885
2012/04/03,6.38
2012/05/01,5.62
2012/05/02,5.505
2012/05/03,5.38
2012/06/01,5.055
2012/06/02,5.085
2012/06/03,4.725
2012/07/01,4.64
2012/07/02,4.785
2012/07/03,4.57
2012/08/01,4.45
2012/08/02,4.465
2012/08/03,4.55
2012/09/01,4.41
2012/09/02,4.5
2012/09/03,4.24
2012/10/01,4.4
2012/10/02,4.42
2012/10/03,4.51
2012/11/01,4.57
2012/11/02,4.61
2012/11/03,4.145
2012/12/01,4.185
2012/12/02,4.33
2012/12/03,4.44
2013/01/01,4.58
2013/01/02,4.645
2013/01/03,4.71
2013/02/01,4.715
2013/02/02,4.81
2013/02/03,4.84
2013/03/01,4.915
2013/03/02,4.97
2013/03/03,4.96
2013/04/01,5.275
2013/04/02,5.39
2013/04/03,5.57
2013/05/01,5.48
2013/05/02,5.73
2013/05/03,5.97
2013/06/01,6.67
2013/06/02,6.25
2013/06/03,5.34
2013/07/01,5.195
2013/07/02,5.25
2013/07/03,5.035
2013/08/01,5.29
2013/08/02,5.41
2013/08/03,5.96
2013/09/01,5.67
2013/09/02,5.845
2013/09/03,5.99
2013/10/01,6.16
2013/10/02,5.93
2013/10/03,5.93
2013/11/01,6.16
2013/11/02,6.16
2013/11/03,6.16
2013/12/01,6.16
2013/12/02,6.16
2013/12/03,6.16
2014/01/01,6.16
2014/01/02,6.16
2014/01/03,6.16
2014/02/01,6.16
2014/02/02,6.16
2014/02/03,6.16
2014/03/01,5.47
2014/03/02,5.165
2014/03/03,5.28
2014/04/01,5.41
2014/04/02,5.39
2014/04/03,5.11
2014/05/01,4.9
2014/05/02,4.86
2014/05/03,4.915
2014/06/01,4.975
2014/06/02,5.0
2014/06/03,4.965
2014/07/01,5.15
2014/07/02,5.31
2014/07/03,6.11
2014/08/01,6.095
2014/08/02,6.135
2014/08/03,6.07
2014/09/01,6.46
2014/09/02,6.93
2014/09/03,7.11
2014/10/01,7.51
2014/10/02,7.405
2014/10/03,7.08
2014/11/01,7.665
2014/11/02,7.41
2014/11/03,7.565
2014/12/01,7.325
2014/12/02,6.92
2014/12/03,6.37
