Date,SH601388.Close
2012/04/03,15.14
2012/05/01,15.82
2012/05/02,15.325
2012/05/03,14.9
2012/06/01,16.01
2012/06/02,16.615
2012/06/03,16.8
2012/07/01,17.25
2012/07/02,15.79
2012/07/03,15.0
2012/08/01,15.105
2012/08/02,14.62
2012/08/03,12.71
2012/09/01,12.55
2012/09/02,12.395
2012/09/03,11.21
2012/10/01,12.18
2012/10/02,11.67
2012/10/03,11.08
2012/11/01,11.08
2012/11/02,12.05
2012/11/03,11.03
2012/12/01,10.16
2012/12/02,11.54
2012/12/03,12.06
2013/01/01,12.24
2013/01/02,12.515
2013/01/03,12.3
2013/02/01,13.065
2013/02/02,12.95
2013/02/03,13.18
2013/03/01,14.035
2013/03/02,12.71
2013/03/03,12.17
2013/04/01,11.255
2013/04/02,10.59
2013/04/03,10.63
2013/05/01,10.92
2013/05/02,11.18
2013/05/03,12.15
2013/06/01,11.45
2013/06/02,10.55
2013/06/03,9.085
2013/07/01,9.205
2013/07/02,9.44
2013/07/03,10.05
2013/08/01,11.02
2013/08/02,10.94
2013/08/03,10.82
2013/09/01,10.73
2013/09/02,10.865
2013/09/03,10.705
2013/10/01,10.96
2013/10/02,11.515
2013/10/03,11.0
2013/11/01,10.01
2013/11/02,9.74
2013/11/03,10.15
2013/12/01,10.34
2013/12/02,10.015
2013/12/03,9.44
2014/01/01,9.02
2014/01/02,9.055
2014/01/03,9.255
2014/02/01,9.265
2014/02/02,9.855
2014/02/03,9.9
2014/03/01,10.15
2014/03/02,9.62
2014/03/03,9.74
2014/04/01,9.8
2014/04/02,9.855
2014/04/03,9.655
2014/05/01,9.44
2014/05/02,9.51
2014/05/03,9.59
2014/06/01,9.67
2014/06/02,9.925
2014/06/03,9.985
2014/07/01,10.86
2014/07/02,10.81
2014/07/03,11.12
2014/08/01,11.88
2014/08/02,11.8
2014/08/03,11.26
2014/09/01,12.28
2014/09/02,12.31
2014/09/03,12.34
2014/10/01,12.57
2014/10/02,12.315
2014/10/03,11.85
2014/11/01,12.105
2014/11/02,12.09
2014/11/03,14.265
2014/12/01,14.07
2014/12/02,13.68
2014/12/03,13.025
