Date,SZ300074.Close
2012/01/01,53.93
2012/01/02,45.265
2012/01/03,44.375
2012/02/01,48.355
2012/02/02,48.49
2012/02/03,53.8
2012/03/01,54.68
2012/03/02,57.1
2012/03/03,56.84
2012/04/01,52.425
2012/04/02,54.09
2012/04/03,51.0
2012/05/01,57.48
2012/05/02,56.88
2012/05/03,56.15
2012/06/01,54.575
2012/06/02,54.415
2012/06/03,52.315
2012/07/01,50.98
2012/07/02,49.155
2012/07/03,47.63
2012/08/01,48.505
2012/08/02,48.475
2012/08/03,49.43
2012/09/01,52.665
2012/09/02,52.24
2012/09/03,48.575
2012/10/01,49.43
2012/10/02,50.5
2012/10/03,49.075
2012/11/01,49.7
2012/11/02,53.68
2012/11/03,53.465
2012/12/01,53.225
2012/12/02,54.24
2012/12/03,62.33
2013/01/01,76.53
2013/01/02,78.315
2013/01/03,80.63
2013/02/01,86.715
2013/02/02,91.7
2013/02/03,91.43
2013/03/01,88.615
2013/03/02,82.7
2013/03/03,85.38
2013/04/01,83.14
2013/04/02,83.13
2013/04/03,94.8
2013/05/01,99.5
2013/05/02,99.79
2013/05/03,108.78
2013/06/01,95.69
2013/06/02,96.675
2013/06/03,100.25
2013/07/01,108.225
2013/07/02,124.62
2013/07/03,148.13
2013/08/01,153.05
2013/08/02,141.28
2013/08/03,150.0
2013/09/01,152.06
2013/09/02,149.97
2013/09/03,156.6
2013/10/01,188.2
2013/10/02,179.37
2013/10/03,150.47
2013/11/01,134.955
2013/11/02,128.245
2013/11/03,131.27
2013/12/01,113.78
2013/12/02,113.12
2013/12/03,122.25
2014/01/01,126.1
2014/01/02,134.325
2014/01/03,138.915
2014/02/01,135.315
2014/02/02,143.015
2014/02/03,148.35
2014/03/01,159.925
2014/03/02,148.9
2014/03/03,141.23
2014/04/01,130.91
2014/04/02,132.19
2014/04/03,120.435
2014/05/01,118.87
2014/05/02,116.97
2014/05/03,119.485
2014/06/01,125.595
2014/06/02,125.305
2014/06/03,123.61
2014/07/01,135.0
2014/07/02,131.45
2014/07/03,126.62
2014/08/01,127.49
2014/08/02,133.35
2014/08/03,145.68
2014/09/01,149.39
2014/09/02,150.47
2014/09/03,148.4
2014/10/01,155.33
2014/10/02,155.33
2014/10/03,144.03
2014/11/01,135.785
2014/11/02,124.975
2014/11/03,130.21
2014/12/01,124.85
2014/12/02,121.51
2014/12/03,109.75
