Date,SH600527.Close
2012/01/01,3.0
2012/01/02,3.085
2012/01/03,3.11
2012/02/01,3.185
2012/02/02,3.28
2012/02/03,3.36
2012/03/01,3.6
2012/03/02,3.76
2012/03/03,3.6
2012/04/01,3.635
2012/04/02,3.985
2012/04/03,4.12
2012/05/01,4.21
2012/05/02,4.1
2012/05/03,4.04
2012/06/01,4.0
2012/06/02,3.945
2012/06/03,3.56
2012/07/01,3.53
2012/07/02,3.68
2012/07/03,3.54
2012/08/01,3.555
2012/08/02,3.69
2012/08/03,3.64
2012/09/01,3.97
2012/09/02,4.075
2012/09/03,3.95
2012/10/01,4.03
2012/10/02,4.13
2012/10/03,3.905
2012/11/01,3.74
2012/11/02,3.61
2012/11/03,3.4
2012/12/01,3.325
2012/12/02,3.535
2012/12/03,4.01
2013/01/01,4.05
2013/01/02,4.165
2013/01/03,4.6
2013/02/01,4.89
2013/02/02,4.81
2013/02/03,4.37
2013/03/01,4.39
2013/03/02,4.135
2013/03/03,4.08
2013/04/01,3.815
2013/04/02,3.82
2013/04/03,4.1
2013/05/01,4.48
2013/05/02,4.7
2013/05/03,5.1
2013/06/01,5.18
2013/06/02,4.975
2013/06/03,5.22
2013/07/01,5.535
2013/07/02,5.2
2013/07/03,5.43
2013/08/01,5.72
2013/08/02,5.59
2013/08/03,5.855
2013/09/01,6.38
2013/09/02,6.63
2013/09/03,6.805
2013/10/01,7.15
2013/10/02,7.325
2013/10/03,6.67
2013/11/01,6.255
2013/11/02,6.66
2013/11/03,6.49
2013/12/01,6.66
2013/12/02,6.38
2013/12/03,6.23
2014/01/01,6.12
2014/01/02,5.775
2014/01/03,5.82
2014/02/01,6.01
2014/02/02,6.195
2014/02/03,5.35
2014/03/01,5.43
2014/03/02,5.46
2014/03/03,5.26
2014/04/01,5.23
2014/04/02,5.17
2014/04/03,4.935
2014/05/01,4.89
2014/05/02,4.78
2014/05/03,4.7
2014/06/01,4.48
2014/06/02,4.345
2014/06/03,4.245
2014/07/01,4.42
2014/07/02,4.42
2014/07/03,4.65
2014/08/01,4.88
2014/08/02,4.92
2014/08/03,4.72
2014/09/01,4.94
2014/09/02,5.09
2014/09/03,5.15
2014/10/01,5.31
2014/10/02,5.29
2014/10/03,5.19
2014/11/01,5.135
2014/11/02,4.895
2014/11/03,5.02
2014/12/01,5.07
2014/12/02,5.16
2014/12/03,4.83
