Date,SZ002597.Close
2012/01/01,5.34
2012/01/02,5.475
2012/01/03,5.625
2012/02/01,5.83
2012/02/02,6.0
2012/02/03,6.34
2012/03/01,6.23
2012/03/02,6.5
2012/03/03,5.92
2012/04/01,5.52
2012/04/02,5.615
2012/04/03,5.32
2012/05/01,5.42
2012/05/02,5.405
2012/05/03,5.33
2012/06/01,4.885
2012/06/02,4.95
2012/06/03,4.645
2012/07/01,5.18
2012/07/02,5.37
2012/07/03,5.34
2012/08/01,5.2
2012/08/02,5.465
2012/08/03,5.63
2012/09/01,5.56
2012/09/02,5.465
2012/09/03,4.995
2012/10/01,5.29
2012/10/02,4.76
2012/10/03,4.615
2012/11/01,4.62
2012/11/02,4.17
2012/11/03,3.845
2012/12/01,3.72
2012/12/02,3.985
2012/12/03,4.28
2013/01/01,4.33
2013/01/02,4.445
2013/01/03,4.43
2013/02/01,4.365
2013/02/02,4.54
2013/02/03,4.385
2013/03/01,4.56
2013/03/02,4.39
2013/03/03,4.14
2013/04/01,3.825
2013/04/02,3.74
2013/04/03,3.95
2013/05/01,4.0
2013/05/02,4.19
2013/05/03,4.44
2013/06/01,4.18
2013/06/02,3.855
2013/06/03,3.4
2013/07/01,3.57
2013/07/02,3.96
2013/07/03,4.15
2013/08/01,4.7
2013/08/02,4.77
2013/08/03,4.595
2013/09/01,4.47
2013/09/02,4.265
2013/09/03,4.32
2013/10/01,4.43
2013/10/02,4.4
2013/10/03,4.13
2013/11/01,4.06
2013/11/02,4.18
2013/11/03,4.36
2013/12/01,4.83
2013/12/02,4.845
2013/12/03,4.7
2014/01/01,4.46
2014/01/02,4.2
2014/01/03,4.425
2014/02/01,4.66
2014/02/02,4.78
2014/02/03,4.97
2014/03/01,4.875
2014/03/02,4.58
2014/03/03,4.68
2014/04/01,4.9
2014/04/02,5.105
2014/04/03,4.83
2014/05/01,4.68
2014/05/02,4.56
2014/05/03,4.7
2014/06/01,4.885
2014/06/02,5.035
2014/06/03,5.645
2014/07/01,6.305
2014/07/02,6.465
2014/07/03,6.58
2014/08/01,6.805
2014/08/02,7.53
2014/08/03,7.46
2014/09/01,7.46
2014/09/02,7.46
2014/09/03,7.46
2014/10/01,7.17
2014/10/02,7.53
2014/10/03,7.15
2014/11/01,7.655
2014/11/02,8.13
2014/11/03,8.205
2014/12/01,7.57
2014/12/02,7.18
2014/12/03,6.81
