Date,SH601218.Close
2011/05/06,19.79
2011/06/01,18.3
2011/07/01,19.32
2011/08/01,18.01
2011/09/01,15.65
2011/10/10,15.09
2011/11/01,14.99
2011/12/01,12.34
2012/01/04,10.78
2012/02/01,12.93
2012/03/01,12.47
2012/04/05,11.92
2012/05/02,10.68
2012/06/01,10.55
2012/07/02,8.39
2012/08/01,7.87
2012/09/03,7.77
2012/10/08,7.59
2012/11/01,6.94
2012/12/03,7.08
2013/01/04,7.9
2013/02/01,8.77
2013/03/01,9.05
2013/04/01,9.35
2013/05/02,9.31
2013/06/03,3.75
2013/07/01,3.38
2013/08/01,3.97
2013/09/02,3.97
2013/10/08,4.26
2013/11/01,4.1
2013/12/02,4.0
2014/01/02,3.65
2014/02/07,4.18
2014/03/03,4.68
2014/04/01,4.74
2014/05/05,4.87
2014/06/03,5.77
2014/07/01,6.09
2014/08/01,6.93
2014/09/01,8.29
2014/10/08,8.05
2014/11/03,7.86
2014/12/01,7.21
2015/01/05,7.75
2015/02/02,8.75
2015/03/02,11.3
2015/04/01,11.69
2015/05/04,13.15
2015/06/01,13.53
2015/07/01,7.23
2015/08/03,6.97
2015/09/01,5.49
2015/10/08,6.42
2015/11/02,7.04
2015/12/01,7.0
2016/01/04,5.51
2016/02/01,5.09
2016/03/01,5.05
2016/04/01,5.34
2016/05/03,4.91
2016/06/01,4.97
