Date,SZ002516.Close
2010/12/01,21.74
2011/01/01,19.64
2011/02/01,20.61
2011/03/01,21.03
2011/04/01,20.57
2011/05/01,18.83
2011/06/01,14.1
2011/07/01,13.92
2011/08/01,13.26
2011/09/01,12.34
2011/10/01,11.82
2011/11/01,12.26
2011/12/01,10.17
2012/01/01,8.64
2012/02/01,9.31
2012/03/01,9.5
2012/04/01,8.72
2012/05/01,8.79
2012/06/01,8.2
2012/07/01,7.63
2012/08/01,7.3
2012/09/01,7.3
2012/10/01,7.31
2012/11/01,7.59
2012/12/01,7.64
2013/01/01,8.32
2013/02/01,8.63
2013/03/01,8.42
2013/04/01,7.95
2013/05/01,8.18
2013/06/01,7.68
2013/07/01,7.6
2013/08/01,8.21
2013/09/01,8.4
2013/10/01,9.91
2013/11/01,10.25
2013/12/01,10.82
2014/01/01,11.57
2014/02/01,13.57
2014/03/01,13.01
2014/04/01,11.38
2014/05/01,10.74
2014/06/01,11.01
2014/07/01,12.04
2014/08/01,13.51
2014/09/01,17.78
2014/10/01,18.45
2014/11/01,20.44
2014/12/01,18.42
2015/01/01,22.03
2015/02/01,23.12
2015/03/01,28.17
2015/04/01,38.33
2015/05/01,26.62
2015/06/01,19.1
2015/07/01,12.7
2015/08/01,12.86
2015/09/01,10.17
2015/10/01,13.5
2015/11/01,14.65
2015/12/01,14.24
2016/01/01,11.11
2016/02/01,11.52
2016/03/01,12.27
2016/04/01,13.69
2016/05/01,11.41
2016/06/01,6.35
