Date,SH600518.Close
2001/08/08,33.21
2001/09/03,33.05
2001/10/08,28.055
2001/11/01,27.35
2001/12/03,28.37
2002/01/04,26.34
2002/02/01,26.905
2002/03/01,28.44
2002/04/01,28.285
2002/05/08,27.355
2002/06/03,26.59
2002/07/01,29.75
2002/08/01,30.595
2002/09/02,30.48
2002/10/08,28.12
2002/11/01,27.49
2002/12/02,27.33
2003/01/02,29.0
2003/02/10,30.3
2003/03/03,30.31
2003/04/01,30.12
2003/05/12,29.81
2003/06/02,28.84
2003/07/01,28.83
2003/08/01,25.92
2003/09/01,24.33
2003/10/08,23.25
2003/11/03,19.2
2003/12/01,19.94
2004/01/02,23.7
2004/02/02,25.595
2004/03/01,25.25
2004/04/01,26.28
2004/05/10,19.455
2004/06/01,13.855
2004/07/01,13.95
2004/08/02,11.615
2004/09/01,10.64
2004/10/08,11.275
2004/11/01,12.63
2004/12/01,11.81
2005/01/04,11.11
2005/02/01,10.47
2005/03/01,11.16
2005/04/01,10.46
2005/05/09,9.39
2005/06/01,8.945
2005/07/01,8.65
2005/08/01,10.82
2005/09/01,12.3
2005/10/10,12.3
2005/11/01,9.745
2005/12/01,9.92
2006/01/04,10.11
2006/02/06,9.55
2006/03/01,9.49
2006/04/03,10.77
2006/05/08,8.825
2006/06/01,8.355
2006/07/03,9.67
2006/08/01,10.06
2006/09/01,10.1
2006/10/09,10.91
2006/11/01,11.13
2006/12/01,11.18
2007/01/04,14.07
2007/02/01,15.73
2007/03/01,18.18
2007/04/02,24.81
2007/05/08,14.205
2007/06/01,15.04
2007/07/02,12.205
2007/08/01,14.73
2007/09/03,14.825
2007/10/08,12.625
2007/11/01,11.485
2007/12/03,13.17
2008/01/02,15.15
2008/02/01,17.09
2008/03/03,10.13
2008/04/01,8.81
2008/05/05,10.17
2008/06/02,8.645
2008/07/01,9.23
2008/08/01,8.08
2008/09/01,7.43
2008/10/06,7.11
2008/11/03,7.28
2008/12/01,8.66
2009/01/05,9.65
2009/02/02,10.82
2009/03/02,12.215
2009/04/01,13.32
2009/05/04,7.875
2009/06/01,7.545
2009/07/01,8.66
2009/08/03,8.59
2009/09/01,9.255
2009/10/09,9.565
2009/11/02,10.36
2009/12/01,10.63
2010/01/04,10.495
2010/02/01,10.46
2010/03/01,11.64
2010/04/01,13.56
2010/05/04,13.985
2010/06/01,13.22
2010/07/01,12.425
2010/08/02,15.125
2010/09/01,16.97
2010/10/08,18.165
2010/11/01,21.28
2010/12/01,22.18
2011/01/04,15.5
2011/02/01,15.58
2011/03/01,15.53
2011/04/01,14.03
2011/05/03,13.93
2011/06/01,12.89
2011/07/01,14.49
2011/08/01,15.45
2011/09/01,14.92
2011/10/10,14.24
2011/11/01,13.745
2011/12/01,12.51
2012/01/04,11.7
2012/02/01,12.44
2012/03/01,13.035
2012/04/05,13.32
2012/05/02,12.715
2012/06/01,13.825
2012/07/02,15.51
2012/08/01,15.71
2012/09/03,15.73
2012/10/08,16.465
2012/11/01,15.9
2012/12/03,13.79
2013/01/04,14.64
2013/02/01,16.95
2013/03/01,16.53
2013/04/01,17.175
2013/05/02,17.76
2013/06/03,18.76
2013/07/01,20.64
2013/08/01,21.54
2013/09/02,18.72
2013/10/08,19.275
2013/11/01,19.77
2013/12/02,18.21
2014/01/02,16.8
2014/02/07,18.675
2014/03/03,16.63
2014/04/01,16.24
2014/05/05,15.645
2014/06/03,15.11
2014/07/01,14.44
2014/08/01,14.87
2014/09/01,15.17
2014/10/08,15.985
2014/11/03,15.5
2014/12/01,16.51
2015/01/05,16.98
2015/02/02,18.23
2015/03/02,29.075
2015/04/01,36.32
2015/05/04,37.685
2015/06/01,44.5
2015/07/01,18.27
2015/08/03,18.05
2015/09/01,14.19
2015/10/08,16.54
2015/11/02,16.89
2015/12/01,17.33
2016/01/04,13.48
2016/02/01,13.63
2016/03/01,15.62
2016/04/01,15.255
2016/05/03,14.59
2016/06/01,15.24
