Date,SZ000425.Close
2001/08/08,1.61
2001/09/03,1.61
2001/10/08,1.68
2001/11/01,1.815
2001/12/03,1.8
2002/01/04,1.82
2002/02/01,1.805
2002/03/01,1.8
2002/04/01,1.78
2002/05/08,1.78
2002/06/03,1.8
2002/07/01,1.93
2002/08/01,1.89
2002/09/02,1.89
2002/10/08,1.92
2002/11/01,1.93
2002/12/02,1.93
2003/01/02,1.94
2003/02/10,1.93
2003/03/03,1.93
2003/04/01,1.91
2003/05/12,1.9
2003/06/02,0.67
2003/07/01,0.56
2003/08/01,0.57
2003/09/01,0.645
2003/10/08,0.55
2003/11/03,0.47
2003/12/01,0.53
2004/01/02,0.52
2004/02/02,0.76
2004/03/01,0.73
2004/04/01,0.77
2004/05/10,0.66
2004/06/01,0.5
2004/07/01,0.545
2004/08/02,0.435
2004/09/01,0.465
2004/10/08,0.405
2004/11/01,0.39
2004/12/01,0.39
2005/01/04,0.34
2005/02/01,0.28
2005/03/01,0.27
2005/04/01,0.24
2005/05/09,0.09
2005/06/01,0.08
2005/07/01,0.0
2005/08/01,0.08
2005/09/01,0.18
2005/10/10,0.19
2005/11/01,0.22
2005/12/01,0.15
2006/01/04,0.17
2006/02/06,0.26
2006/03/01,0.23
2006/04/03,0.285
2006/05/08,0.37
2006/06/01,0.44
2006/07/03,0.5
2006/08/01,0.39
2006/09/01,0.44
2006/10/09,0.56
2006/11/01,0.51
2006/12/01,0.59
2007/01/04,1.43
2007/02/01,1.85
2007/03/01,2.01
2007/04/02,2.1
2007/05/08,2.85
2007/06/01,2.11
2007/07/02,1.86
2007/08/01,2.55
2007/09/03,3.7
2007/10/08,3.68
2007/11/01,3.345
2007/12/03,3.265
2008/01/02,4.195
2008/02/01,3.69
2008/03/03,3.25
2008/04/01,2.16
2008/05/05,2.425
2008/06/02,2.17
2008/07/01,2.17
2008/08/01,2.46
2008/09/01,1.98
2008/10/06,2.33
2008/11/03,2.175
2008/12/01,2.45
2009/01/05,2.78
2009/02/02,3.515
2009/03/02,3.905
2009/04/01,4.49
2009/05/04,4.7
2009/06/01,4.44
2009/07/01,5.13
2009/08/03,4.62
2009/09/01,5.125
2009/10/09,5.645
2009/11/02,5.8
2009/12/01,5.44
2010/01/04,5.67
2010/02/01,5.7
2010/03/01,5.73
2010/04/01,6.49
2010/05/04,5.3
2010/06/01,5.23
2010/07/01,5.265
2010/08/02,5.75
2010/09/01,5.83
2010/10/08,7.105
2010/11/01,8.69
2010/12/01,8.46
2011/01/04,8.47
2011/02/01,8.92
2011/03/01,9.65
2011/04/01,9.08
2011/05/03,7.63
2011/06/01,7.65
2011/07/01,8.01
2011/08/01,7.36
2011/09/01,6.68
2011/10/10,5.34
2011/11/01,5.225
2011/12/01,4.32
2012/01/04,4.79
2012/02/01,5.14
2012/03/01,4.965
2012/04/05,4.68
2012/05/02,4.715
2012/06/01,4.6
2012/07/02,4.245
2012/08/01,4.06
2012/09/03,3.38
2012/10/08,3.485
2012/11/01,3.365
2012/12/03,3.66
2013/01/04,3.885
2013/02/01,4.11
2013/03/01,3.72
2013/04/01,3.4
2013/05/02,3.385
2013/06/03,3.03
2013/07/01,2.51
2013/08/01,2.58
2013/09/02,2.76
2013/10/08,2.72
2013/11/01,2.57
2013/12/02,2.52
2014/01/02,2.27
2014/02/07,2.31
2014/03/03,2.2
2014/04/01,2.22
2014/05/05,2.25
2014/06/03,2.2
2014/07/01,2.47
2014/08/01,2.64
2014/09/01,2.79
2014/10/08,2.805
2014/11/03,3.195
2014/12/01,4.44
2015/01/05,4.39
2015/02/02,3.92
2015/03/02,4.765
2015/04/01,5.03
2015/05/04,4.78
2015/06/01,5.47
2015/07/01,3.87
2015/08/03,3.96
2015/09/01,4.14
2015/10/08,4.48
2015/11/02,4.5
2015/12/01,4.34
2016/01/04,3.475
2016/02/01,3.06
2016/03/01,3.35
2016/04/01,3.58
2016/05/03,3.23
2016/06/01,3.16
