Date,SH601169.Close
2008/01/01,21.29
2008/01/02,21.29
2008/01/03,17.65
2008/02/01,18.5
2008/02/02,17.98
2008/02/03,16.49
2008/03/01,16.255
2008/03/02,14.555
2008/03/03,13.99
2008/04/01,14.69
2008/04/02,14.2
2008/04/03,16.325
2008/05/01,16.23
2008/05/02,16.66
2008/05/03,15.29
2008/06/01,15.11
2008/06/02,13.435
2008/06/03,14.51
2008/07/01,13.705
2008/07/02,13.25
2008/07/03,13.26
2008/08/01,12.69
2008/08/02,10.235
2008/08/03,9.63
2008/09/01,8.93
2008/09/02,7.475
2008/09/03,8.21
2008/10/01,7.49
2008/10/02,8.32
2008/10/03,8.08
2008/11/01,8.495
2008/11/02,9.36
2008/11/03,8.56
2008/12/01,8.94
2008/12/02,9.36
2008/12/03,9.125
2009/01/01,9.29
2009/01/02,9.87
2009/01/03,10.54
2009/02/01,10.8
2009/02/02,11.085
2009/02/03,10.73
2009/03/01,10.89
2009/03/02,11.255
2009/03/03,12.01
2009/04/01,12.4
2009/04/02,12.535
2009/04/03,12.105
2009/05/01,12.71
2009/05/02,13.315
2009/05/03,12.9
2009/06/01,14.235
2009/06/02,15.19
2009/06/03,16.18
2009/07/01,16.66
2009/07/02,16.96
2009/07/03,17.94
2009/08/01,17.7
2009/08/02,16.39
2009/08/03,16.0
2009/09/01,16.87
2009/09/02,17.92
2009/09/03,17.41
2009/10/01,18.4
2009/10/02,18.59
2009/10/03,18.58
2009/11/01,18.79
2009/11/02,19.015
2009/11/03,18.63
2009/12/01,18.52
2009/12/02,19.38
2009/12/03,18.91
2010/01/01,18.67
2010/01/02,16.675
2010/01/03,16.7
2010/02/01,15.91
2010/02/02,16.11
2010/02/03,16.0
2010/03/01,16.765
2010/03/02,16.75
2010/03/03,16.695
2010/04/01,16.995
2010/04/02,16.38
2010/04/03,14.015
2010/05/01,13.99
2010/05/02,13.745
2010/05/03,13.76
2010/06/01,12.815
2010/06/02,12.43
2010/06/03,12.89
2010/07/01,12.87
2010/07/02,13.65
2010/07/03,14.37
2010/08/01,14.17
2010/08/02,13.795
2010/08/03,13.265
2010/09/01,13.27
2010/09/02,12.335
2010/09/03,12.18
2010/10/01,12.81
2010/10/02,14.285
2010/10/03,14.3
2010/11/01,14.445
2010/11/02,12.88
2010/11/03,12.53
2010/12/01,12.42
2010/12/02,12.265
2010/12/03,12.04
2011/01/01,12.12
2011/01/02,12.235
2011/01/03,12.09
2011/02/01,12.15
2011/02/02,12.46
2011/02/03,12.065
2011/03/01,12.585
2011/03/02,12.26
2011/03/03,12.45
2011/04/01,12.935
2011/04/02,12.715
2011/04/03,12.445
2011/05/01,11.91
2011/05/02,11.8
2011/05/03,11.44
2011/06/01,10.93
2011/06/02,10.455
2011/06/03,10.63
2011/07/01,10.83
2011/07/02,10.725
2011/07/03,10.27
2011/08/01,10.165
2011/08/02,9.9
2011/08/03,10.38
2011/09/01,10.41
2011/09/02,10.33
2011/09/03,10.075
2011/10/01,9.86
2011/10/02,10.4
2011/10/03,10.85
2011/11/01,10.89
2011/11/02,10.57
2011/11/03,10.23
2011/12/01,10.38
2011/12/02,10.2
2011/12/03,9.98
2012/01/01,10.07
2012/01/02,10.435
2012/01/03,10.675
2012/02/01,10.9
2012/02/02,10.835
2012/02/03,11.025
2012/03/01,10.95
2012/03/02,10.84
2012/03/03,10.675
2012/04/01,10.425
2012/04/02,10.56
2012/04/03,11.1
2012/05/01,11.22
2012/05/02,10.755
2012/05/03,10.56
2012/06/01,10.255
2012/06/02,10.185
2012/06/03,10.28
2012/07/01,10.46
2012/07/02,9.87
2012/07/03,9.68
2012/08/01,9.97
2012/08/02,9.785
2012/08/03,9.67
2012/09/01,9.59
2012/09/02,9.5
2012/09/03,9.04
2012/10/01,9.24
2012/10/02,9.22
2012/10/03,9.17
2012/11/01,9.49
2012/11/02,9.37
2012/11/03,9.565
2012/12/01,10.1
2012/12/02,11.555
2012/12/03,11.71
2013/01/01,11.92
2013/01/02,11.86
2013/01/03,12.68
2013/02/01,13.12
2013/02/02,12.64
2013/02/03,12.06
2013/03/01,12.12
2013/03/02,11.89
2013/03/03,12.13
2013/04/01,11.3
2013/04/02,11.19
2013/04/03,11.23
2013/05/01,11.66
2013/05/02,11.635
2013/05/03,11.83
2013/06/01,11.54
2013/06/02,11.01
2013/06/03,10.015
2013/07/01,10.06
2013/07/02,10.65
2013/07/03,10.23
2013/08/01,10.32
2013/08/02,10.57
2013/08/03,10.64
2013/09/01,11.05
2013/09/02,11.78
2013/09/03,11.225
2013/10/01,11.17
2013/10/02,11.01
2013/10/03,11.07
2013/11/01,10.8
2013/11/02,10.665
2013/11/03,10.74
2013/12/01,10.93
2013/12/02,10.55
2013/12/03,10.21
2014/01/01,10.03
2014/01/02,9.84
2014/01/03,9.905
2014/02/01,9.965
2014/02/02,10.245
2014/02/03,10.52
2014/03/01,10.185
2014/03/02,10.025
2014/03/03,10.42
2014/04/01,10.59
2014/04/02,10.575
2014/04/03,10.43
2014/05/01,10.34
2014/05/02,10.47
2014/05/03,10.76
2014/06/01,10.86
2014/06/02,10.955
2014/06/03,10.995
2014/07/01,11.155
2014/07/02,11.27
2014/07/03,11.77
2014/08/01,12.1
2014/08/02,11.81
2014/08/03,11.93
2014/09/01,12.69
2014/09/02,12.82
2014/09/03,13.14
2014/10/01,13.14
2014/10/02,12.83
2014/10/03,12.77
2014/11/01,13.38
2014/11/02,13.43
2014/11/03,13.59
2014/12/01,15.24
2014/12/02,15.49
2014/12/03,16.435
2015/01/01,17.03
2015/01/02,17.3
2015/01/03,16.815
2015/02/01,15.99
2015/02/02,16.09
2015/02/03,16.63
2015/03/01,16.06
2015/03/02,17.54
2015/03/03,17.3
2015/04/01,17.82
2015/04/02,19.52
2015/04/03,19.385
2015/05/01,20.99
2015/05/02,20.6
2015/05/03,20.87
2015/06/01,21.765
2015/06/02,22.4
2015/06/03,21.0
2015/07/01,19.43
2015/07/02,20.005
2015/07/03,17.57
2015/08/01,17.5
2015/08/02,17.195
2015/08/03,15.81
2015/09/01,17.045
2015/09/02,17.03
2015/09/03,16.82
2015/10/01,17.11
2015/11/02,18.82
2015/11/03,18.47
2015/12/01,19.295
2015/12/02,19.52
2015/12/03,20.15
