Date,SH601328.Close
2008/01/01,11.09
2008/01/02,10.935
2008/01/03,9.09
2008/02/01,9.15
2008/02/02,8.895
2008/02/03,8.07
2008/03/01,7.875
2008/03/02,7.325
2008/03/03,6.75
2008/04/01,7.16
2008/04/02,6.57
2008/04/03,7.1
2008/05/01,6.67
2008/05/02,6.39
2008/05/03,5.84
2008/06/01,5.87
2008/06/02,5.005
2008/06/03,4.98
2008/07/01,4.88
2008/07/02,5.205
2008/07/03,5.58
2008/08/01,5.35
2008/08/02,4.93
2008/08/03,4.87
2008/09/01,4.45
2008/09/02,3.515
2008/09/03,3.77
2008/10/01,3.2
2008/10/02,3.235
2008/10/03,2.62
2008/11/01,2.73
2008/11/02,3.06
2008/11/03,2.865
2008/12/01,2.93
2008/12/02,2.96
2008/12/03,2.775
2009/01/01,3.06
2009/01/02,3.18
2009/01/03,3.41
2009/02/01,3.7
2009/02/02,3.745
2009/02/03,3.3
2009/03/01,3.36
2009/03/02,3.625
2009/03/03,3.99
2009/04/01,4.28
2009/04/02,4.52
2009/04/03,4.19
2009/05/01,4.58
2009/05/02,4.79
2009/05/03,4.62
2009/06/01,5.275
2009/06/02,5.8
2009/06/03,6.25
2009/07/01,6.81
2009/07/02,6.99
2009/07/03,7.82
2009/08/01,7.315
2009/08/02,6.42
2009/08/03,5.86
2009/09/01,6.11
2009/09/02,6.43
2009/09/03,5.84
2009/10/01,6.06
2009/10/02,6.19
2009/10/03,6.16
2009/11/01,6.25
2009/11/02,6.415
2009/11/03,6.09
2009/12/01,5.955
2009/12/02,6.0
2009/12/03,5.88
2010/01/01,6.45
2010/01/02,6.115
2010/01/03,6.18
2010/02/01,5.64
2010/02/02,5.71
2010/02/03,5.64
2010/03/01,5.705
2010/03/02,5.61
2010/03/03,5.615
2010/04/01,5.845
2010/04/02,5.7
2010/04/03,4.835
2010/05/01,4.6
2010/05/02,4.65
2010/05/03,4.63
2010/06/01,4.34
2010/06/03,4.43
2010/07/01,4.17
2010/07/02,4.4
