Date,SH601328.Close
2008/01/01,15.49
2008/01/02,15.285
2008/01/03,12.95
2008/02/01,13.03
2008/02/02,12.705
2008/02/03,11.66
2008/03/01,11.415
2008/03/02,10.725
2008/03/03,10.0
2008/04/01,10.51
2008/04/02,9.77
2008/04/03,10.44
2008/05/01,9.89
2008/05/02,9.54
2008/05/03,8.845
2008/06/01,8.88
2008/06/02,7.775
2008/06/03,7.605
2008/07/01,7.475
2008/07/02,7.885
2008/07/03,8.37
2008/08/01,8.07
2008/08/02,7.54
2008/08/03,7.47
2008/09/01,6.935
2008/09/02,5.75
2008/09/03,5.98
2008/10/01,5.25
2008/10/02,5.295
2008/10/03,4.52
2008/11/01,4.655
2008/11/02,5.075
2008/11/03,4.83
2008/12/01,4.91
2008/12/02,4.95
2008/12/03,4.72
2009/01/01,5.07
2009/01/02,5.23
2009/01/03,5.52
2009/02/01,5.89
2009/02/02,5.945
2009/02/03,5.38
2009/03/01,5.45
2009/03/02,5.79
2009/03/03,6.25
2009/04/01,6.62
2009/04/02,6.92
2009/04/03,6.505
2009/05/01,7.0
2009/05/02,7.26
2009/05/03,7.03
2009/06/01,7.78
2009/06/02,8.44
2009/06/03,9.01
2009/07/01,9.72
2009/07/02,9.95
2009/07/03,11.0
2009/08/01,10.36
2009/08/02,9.225
2009/08/03,8.52
2009/09/01,8.835
2009/09/02,9.24
2009/09/03,8.395
2009/10/01,8.67
2009/10/02,8.84
2009/10/03,8.8
2009/11/01,8.91
2009/11/02,9.125
2009/11/03,8.71
2009/12/01,8.535
2009/12/02,8.595
2009/12/03,8.44
2010/01/01,9.16
2010/01/02,8.745
2010/01/03,8.82
2010/02/01,8.14
2010/02/02,8.23
2010/02/03,8.14
2010/03/01,8.22
2010/03/02,8.1
2010/03/03,8.11
2010/04/01,8.395
2010/04/02,8.215
2010/04/03,7.125
2010/05/01,6.73
2010/05/02,6.785
2010/05/03,6.76
2010/06/01,6.39
2010/06/03,6.245
2010/07/01,5.96
2010/07/02,6.21
2010/07/03,6.39
2010/08/01,6.52
2010/08/02,6.28
2010/08/03,6.05
2010/09/01,6.01
2010/09/02,5.725
2010/09/03,5.68
2010/10/01,5.99
2010/10/02,6.455
2010/10/03,6.41
2010/11/01,6.23
2010/11/02,5.78
2010/11/03,5.67
2010/12/01,5.605
2010/12/02,5.62
2010/12/03,5.55
2011/01/01,5.59
2011/01/02,5.58
2011/01/03,5.49
2011/02/01,5.56
2011/02/02,5.665
2011/02/03,5.54
2011/03/01,5.695
2011/03/02,5.55
2011/03/03,5.67
2011/04/01,6.005
2011/04/02,6.045
2011/04/03,5.95
2011/05/01,5.83
2011/05/02,5.82
2011/05/03,5.7
2011/06/01,5.59
2011/06/02,5.545
2011/06/03,5.53
2011/07/01,5.56
2011/07/02,5.57
2011/07/03,4.81
2011/08/01,4.655
2011/08/02,4.7
