Date,SH600702.Close
2012/01/01,15.85
2012/01/02,17.985
2012/01/03,19.025
2012/02/01,19.58
2012/02/02,21.92
2012/02/03,22.87
2012/03/01,24.39
2012/03/02,27.42
2012/03/03,27.14
2012/04/01,30.755
2012/04/02,30.49
2012/04/03,28.76
2012/05/01,31.14
2012/05/02,30.395
2012/05/03,32.32
2012/06/01,31.58
2012/06/02,32.92
2012/06/03,32.215
2012/07/01,37.81
2012/07/02,36.91
2012/07/03,35.13
2012/08/01,34.73
2012/08/02,34.685
2012/08/03,31.13
2012/09/01,31.55
2012/09/02,31.46
2012/09/03,31.155
2012/10/01,32.52
2012/10/02,33.41
2012/10/03,31.04
2012/11/01,29.28
2012/11/02,27.48
2012/11/03,22.48
2012/12/01,20.715
2012/12/02,22.585
2012/12/03,26.46
2013/01/01,29.71
2013/01/02,29.47
2013/01/03,26.8
2013/02/01,25.58
2013/02/02,24.55
2013/02/03,25.98
2013/03/01,25.31
2013/03/02,23.0
2013/03/03,21.06
2013/04/01,19.345
2013/04/02,19.39
2013/04/03,18.22
2013/05/01,16.79
2013/05/02,16.56
2013/05/03,17.6
2013/06/01,17.39
2013/06/02,16.415
2013/06/03,15.165
2013/07/01,17.35
2013/07/02,17.23
2013/07/03,18.195
2013/08/01,17.99
2013/08/02,17.95
2013/08/03,17.53
2013/09/01,15.18
2013/09/02,15.845
2013/09/03,14.79
2013/10/01,14.43
2013/10/02,14.18
2013/10/03,13.65
2013/11/01,13.295
2013/11/02,14.765
2013/11/03,15.13
2013/12/01,14.9
2013/12/02,15.7
2013/12/03,15.04
2014/01/01,13.1
2014/01/02,12.73
2014/01/03,12.74
2014/02/01,11.245
2014/02/02,11.43
2014/02/03,10.505
2014/03/01,11.34
2014/03/02,12.095
2014/03/03,11.72
2014/04/01,11.26
2014/04/02,11.765
2014/04/03,10.88
2014/05/01,10.64
2014/05/02,11.15
2014/05/03,11.12
2014/06/01,10.555
2014/06/02,10.48
2014/06/03,10.39
2014/07/01,10.535
2014/07/02,11.13
2014/07/03,11.86
2014/08/01,12.065
2014/08/02,12.99
2014/08/03,13.53
2014/09/01,15.2
2014/09/02,14.62
2014/09/03,14.27
2014/10/01,14.92
2014/10/02,14.32
2014/10/03,14.05
2014/11/01,14.0
2014/11/02,14.625
2014/11/03,15.065
2014/12/01,16.28
2014/12/02,16.91
2014/12/03,18.29
