Date,SH601199.Close
2012/01/01,12.8
2012/01/02,12.98
2012/01/03,12.935
2012/02/01,13.3
2012/02/02,13.7
2012/02/03,14.04
2012/03/01,14.16
2012/03/02,14.48
2012/03/03,13.895
2012/04/01,12.82
2012/04/02,13.14
2012/04/03,12.87
2012/05/01,13.21
2012/05/02,12.915
2012/05/03,12.85
2012/06/01,12.5
2012/06/02,13.12
2012/06/03,13.995
2012/07/01,13.93
2012/07/02,12.735
2012/07/03,12.56
2012/08/01,12.29
2012/08/02,12.195
2012/08/03,12.55
2012/09/01,12.495
2012/09/02,12.815
2012/09/03,12.3
2012/10/01,12.7
2012/10/02,12.71
2012/10/03,12.435
2012/11/01,12.4
2012/11/02,12.08
2012/11/03,11.615
2012/12/01,11.29
2012/12/02,11.735
2012/12/03,12.17
2013/01/01,12.31
2013/01/02,13.025
2013/01/03,12.98
2013/02/01,13.24
2013/02/02,13.64
2013/02/03,13.76
2013/03/01,14.37
2013/03/02,13.615
2013/03/03,13.7
2013/04/01,12.87
2013/04/02,12.92
2013/04/03,12.71
2013/05/01,13.08
2013/05/02,13.36
2013/05/03,13.98
2013/06/01,13.85
2013/06/02,13.77
2013/06/03,13.485
2013/07/01,13.735
2013/07/02,12.97
2013/07/03,13.09
2013/08/01,13.55
2013/08/02,13.2
2013/08/03,13.15
2013/09/01,13.62
2013/09/02,13.57
2013/09/03,13.37
2013/10/01,13.44
2013/10/02,13.77
2013/10/03,15.28
2013/11/01,14.795
2013/11/02,15.905
2013/11/03,15.77
2013/12/01,15.15
2013/12/02,14.73
2013/12/03,14.36
2014/01/01,14.4
2014/01/02,13.64
2014/01/03,14.04
2014/02/01,14.5
2014/02/02,15.2
2014/02/03,14.845
2014/03/01,15.45
2014/03/02,14.91
2014/03/03,14.64
2014/04/01,14.09
2014/04/02,14.28
2014/04/03,14.87
2014/05/01,15.2
2014/05/02,15.19
2014/05/03,15.38
2014/06/01,15.665
2014/06/02,15.78
2014/06/03,15.315
2014/07/01,15.675
2014/07/02,15.985
2014/07/03,15.99
2014/08/01,15.825
2014/08/02,15.95
2014/08/03,15.57
2014/09/01,16.24
2014/09/02,17.24
2014/09/03,17.6
2014/10/01,18.2
2014/10/02,17.88
2014/10/03,17.25
2014/11/01,17.725
2014/11/02,17.165
2014/11/03,18.02
2014/12/01,19.765
2014/12/02,20.65
2014/12/03,19.91
