Date,SZ002179.Close
2012/01/01,14.69
2012/01/02,14.715
2012/01/03,14.8
2012/02/01,15.655
2012/02/02,16.175
2012/02/03,17.03
2012/03/01,17.83
2012/03/02,16.8
2012/03/03,16.3
2012/04/01,15.72
2012/04/02,16.81
2012/04/03,16.81
2012/05/01,16.44
2012/05/02,15.38
2012/05/03,15.22
2012/06/01,14.635
2012/06/02,14.67
2012/06/03,13.76
2012/07/01,14.42
2012/07/02,14.205
2012/07/03,14.65
2012/08/01,14.57
2012/08/02,13.91
2012/08/03,13.18
2012/09/01,13.325
2012/09/02,14.485
2012/09/03,13.38
2012/10/01,13.98
2012/10/02,13.66
2012/10/03,13.27
2012/11/01,13.4
2012/11/02,12.98
2012/11/03,11.935
2012/12/01,11.525
2012/12/02,11.905
2012/12/03,12.46
2013/01/01,13.7
2013/01/02,14.37
2013/01/03,14.09
2013/02/01,14.515
2013/02/02,15.33
2013/02/03,15.3
2013/03/01,15.88
2013/03/02,15.04
2013/03/03,15.06
2013/04/01,14.255
2013/04/02,14.61
2013/04/03,14.66
2013/05/01,13.88
2013/05/02,14.33
2013/05/03,15.69
2013/06/01,14.99
2013/06/02,14.31
2013/06/03,12.19
2013/07/01,13.015
2013/07/02,13.39
2013/07/03,13.315
2013/08/01,13.45
2013/08/02,13.42
2013/08/03,14.065
2013/09/01,14.68
2013/09/02,14.175
2013/09/03,13.92
2013/10/01,14.29
2013/10/02,14.145
2013/10/03,13.92
2013/11/01,13.895
2013/11/02,15.485
2013/11/03,17.46
2013/12/01,16.95
2013/12/02,16.29
2013/12/03,16.1
2014/01/01,16.7
2014/01/02,15.675
2014/01/03,16.295
2014/02/01,17.265
2014/02/02,17.795
2014/02/03,16.615
2014/03/01,17.295
2014/03/02,16.47
2014/03/03,15.56
2014/04/01,15.7
2014/04/02,16.145
2014/04/03,15.5
2014/05/01,14.75
2014/05/02,14.88
2014/05/03,14.92
2014/06/01,15.57
2014/06/02,16.46
2014/06/03,17.265
2014/07/01,17.76
2014/07/02,18.015
2014/07/03,18.1
2014/08/01,21.17
2014/08/02,21.31
2014/08/03,22.45
2014/09/01,25.31
2014/09/02,24.76
2014/09/03,25.74
2014/10/01,26.62
2014/10/02,26.14
2014/10/03,26.4
2014/11/01,27.665
2014/11/02,25.51
2014/11/03,26.035
2014/12/01,26.36
2014/12/02,26.65
2014/12/03,23.63
