Date, SH600039.Open, SH600039.High, SH600039.Low, SH600039.Close, SH600039.Volume, SH600039.Adjusted
2007/09/19,9.94,10.91,9.69,9.79,461099147,10932077568.00
2007/09/20,10.38,10.71,10.02,10.70,197740465,4715341824.00
2007/09/21,10.17,10.42,9.68,10.17,130966205,3033619968.00
2007/09/24,10.24,10.26,9.71,9.75,74426861,1696596352.00
2007/09/25,9.78,9.79,8.97,9.00,82809998,1781488640.00
2007/09/26,8.98,9.49,8.88,9.14,43634780,938324480.00
2007/09/27,9.22,9.60,9.04,9.46,41903447,912701440.00
2007/09/28,9.57,9.66,9.38,9.47,49906061,1101913344.00
2007/10/08,9.61,10.03,9.57,9.66,65525509,1495633408.00
2007/10/09,9.66,10.04,9.48,9.95,48262287,1100631680.00
2007/10/10,9.95,10.49,9.95,10.30,70646077,1670449024.00
2007/10/11,10.41,10.42,9.94,10.14,44293028,1036020160.00
2007/10/12,10.21,10.57,9.64,10.49,76970716,1806349056.00
2007/10/15,10.70,10.98,10.29,10.38,88000694,2146899712.00
2007/10/16,10.37,10.76,10.18,10.44,65726912,1579374080.00
2007/10/17,10.26,10.26,9.85,9.88,47173214,1089531904.00
2007/10/18,9.91,9.99,9.46,9.52,31421995,699864448.00
2007/10/19,9.58,9.69,9.38,9.45,17884418,395689024.00
2007/10/22,9.32,9.60,9.06,9.35,20958442,453121472.00
2007/10/23,9.35,9.54,9.17,9.53,17787176,387174784.00
2007/10/24,9.56,9.74,9.37,9.38,19651589,436813536.00
2007/10/25,9.31,9.60,8.98,9.35,33134652,717456832.00
2007/10/26,9.26,9.47,9.18,9.32,14834960,322035072.00
2007/10/29,9.59,9.79,9.48,9.63,20375126,456942624.00
2007/10/30,9.71,9.82,9.51,9.79,23870568,535176896.00
2007/10/31,10.04,10.18,9.81,10.00,41314142,957324480.00
2007/11/01,10.00,10.11,9.75,9.77,24835920,569416448.00
2007/11/02,9.63,9.75,9.32,9.34,23189246,512227008.00
2007/11/05,9.28,9.55,9.21,9.46,12872190,280249728.00
2007/11/06,9.42,9.55,9.28,9.33,9006924,197056016.00
2007/11/07,9.39,9.63,9.27,9.47,11906660,262253696.00
2007/11/08,9.50,9.59,9.32,9.35,12838220,282294688.00
2007/11/09,9.33,9.43,9.01,9.13,16959417,362283808.00
2007/11/12,8.88,9.09,8.26,8.45,25688290,522784256.00
2007/11/13,8.64,8.76,8.33,8.37,24122003,481104192.00
2007/11/14,8.50,8.66,8.41,8.65,19941934,400743200.00
2007/11/15,8.62,8.66,8.37,8.46,16699680,334308160.00
2007/11/16,8.40,8.41,8.16,8.20,19810122,386451040.00
2007/11/19,8.23,8.37,8.22,8.30,14426103,282749792.00
2007/11/20,8.30,8.46,8.23,8.36,18370169,363085536.00
2007/11/21,8.45,8.50,8.31,8.34,10724462,212684800.00
2007/11/22,8.23,8.40,8.02,8.03,14358945,277181088.00
2007/11/23,7.94,8.12,7.72,8.04,16352011,306954944.00
2007/11/26,8.13,8.20,7.89,7.94,13136985,249791056.00
2007/11/27,7.87,8.23,7.73,8.00,14801300,281365280.00
2007/11/28,7.99,8.06,7.77,7.80,8750394,163829376.00
2007/11/29,7.97,8.35,7.87,8.29,22996543,445328224.00
2007/11/30,8.16,8.25,7.93,7.97,13488783,258042448.00
2007/12/03,7.92,8.39,7.87,8.17,12293893,237794288.00
2007/12/04,8.21,8.29,8.09,8.13,6962723,134923584.00
2007/12/05,8.20,8.37,8.10,8.28,12118325,237097264.00
2007/12/06,8.26,8.38,8.18,8.25,7122564,139356096.00
2007/12/07,8.25,8.36,8.16,8.31,10087452,197092720.00
2007/12/10,8.12,8.44,8.06,8.40,18430691,359875904.00
2007/12/11,8.45,8.53,8.26,8.35,14565052,288205984.00
2007/12/12,8.35,8.35,8.08,8.10,22216002,429143264.00
2007/12/13,8.06,8.23,7.96,8.01,14337056,275105280.00
2007/12/14,7.93,8.19,7.91,8.16,12732358,243416704.00
2007/12/17,8.13,8.14,7.92,8.01,12371593,235260784.00
2007/12/18,8.00,8.24,7.99,8.07,8286684,159471552.00
2007/12/19,7.96,8.59,7.89,8.59,130713572,2561077248.00
2007/12/20,8.47,8.58,8.43,8.52,43070561,863329920.00
2007/12/24,8.65,8.71,8.42,8.58,49421711,994116608.00
2007/12/25,8.61,8.64,8.42,8.49,33850257,677167040.00
2007/12/26,8.51,8.66,8.35,8.60,37176243,742454976.00
2007/12/27,8.63,8.87,8.49,8.82,50558707,1033649792.00
2007/12/28,8.82,8.91,8.66,8.67,37523977,771960640.00
2008/01/02,8.78,9.30,8.50,9.03,51566937,1089819904.00
2008/01/03,9.03,9.06,8.80,8.98,36267658,756405184.00
2008/01/04,9.05,9.21,8.98,9.12,28980147,617066688.00
2008/01/07,9.11,9.35,9.03,9.20,30611069,661643392.00
2008/01/08,9.25,9.46,9.03,9.10,34122115,738613248.00
