证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	000831",*ST五稀,2017-01-03,深交所,12.14,12.45,10640352,12.47,12.29,12.35,5863,1.7298,131778908.28
"	000831",*ST五稀,2017-01-04,深交所,12.35,12.36,9304850,12.52,12.32,12.46,5135,0.8907,115588157.9
"	000831",*ST五稀,2017-01-05,深交所,12.46,12.46,7189682,12.5,12.37,12.41,3940,-0.4013,89297908.94
"	000831",*ST五稀,2017-01-06,深交所,12.41,12.4,8216881,12.44,12.26,12.39,4547,-0.1612,101471545.17
"	000831",*ST五稀,2017-01-09,深交所,12.39,12.4,7299030,12.45,12.33,12.42,3603,0.2421,90424378.98
"	000831",*ST五稀,2017-01-10,深交所,12.42,12.44,7579786,12.48,12.34,12.41,3914,-0.0805,94036475.01
"	000831",*ST五稀,2017-01-11,深交所,12.41,12.39,11683785,12.39,12.16,12.26,6313,-1.2087,143489586.31
"	000831",*ST五稀,2017-01-12,深交所,12.26,12.26,15281284,12.26,11.84,11.86,9161,-3.2626,183693261.92
"	000831",*ST五稀,2017-01-13,深交所,11.86,11.9,14581267,11.9,11.48,11.52,8390,-2.8668,170126275.73
"	000831",*ST五稀,2017-01-16,深交所,11.52,11.48,15960764,11.48,10.94,11.15,8448,-3.2118,178806020.09
"	000831",*ST五稀,2017-01-17,深交所,11.15,11.05,8479387,11.22,10.92,11.21,5127,0.5381,94134560.21
"	000831",*ST五稀,2017-01-18,深交所,11.21,11.18,7051064,11.35,11.12,11.3,3597,0.8029,79219434.05
"	000831",*ST五稀,2017-01-19,深交所,11.3,11.22,5585235,11.4,11.2,11.26,3072,-0.354,63061389.2
"	000831",*ST五稀,2017-01-20,深交所,11.26,11.22,5163331,11.41,11.19,11.37,2680,0.9769,58473740.41
"	000831",*ST五稀,2017-01-23,深交所,11.37,11.37,5295589,11.58,11.34,11.54,3086,1.4952,60877863.21
"	000831",*ST五稀,2017-01-24,深交所,11.54,11.52,4456360,11.63,11.44,11.45,2439,-0.7799,51276188.51
"	000831",*ST五稀,2017-01-25,深交所,11.45,11.55,6164054,11.64,11.51,11.58,3584,1.1354,71392811.47
"	000831",*ST五稀,2017-01-26,深交所,11.58,11.59,11073066,12.03,11.59,11.97,6686,3.3679,131755923.56
"	000831",*ST五稀,2017-02-03,深交所,11.97,11.98,9107179,12.14,11.92,11.98,4805,0.0835,109478799.03
"	000831",*ST五稀,2017-02-06,深交所,11.98,11.99,6281198,12.04,11.86,12,3693,0.1669,75087360.31
"	000831",*ST五稀,2017-02-07,深交所,12,11.99,6995915,12.06,11.92,12.04,3943,0.3333,83901010.58
"	000831",*ST五稀,2017-02-08,深交所,12.04,12,9982332,12.09,11.85,12.05,4605,0.0831,119495258.91
"	000831",*ST五稀,2017-02-09,深交所,12.05,12.07,14583017,12.33,11.95,12.15,6545,0.8299,177016490.28
"	000831",*ST五稀,2017-02-10,深交所,12.15,12.12,9705317,12.2,12.03,12.15,4423,0,117665674.52
"	000831",*ST五稀,2017-02-13,深交所,12.15,12.2,14769687,12.39,12.2,12.31,6778,1.3169,181899311.84
"	000831",*ST五稀,2017-02-14,深交所,12.31,12.3,8208613,12.39,12.25,12.29,4365,-0.1625,101036244.69
"	000831",*ST五稀,2017-02-15,深交所,12.29,12.26,10094341,12.33,12.04,12.04,5428,-2.0342,123116859.87
"	000831",*ST五稀,2017-02-16,深交所,12.04,12,40493648,12.64,11.99,12.56,17836,4.3189,507034129.34
"	000831",*ST五稀,2017-02-17,深交所,12.56,12.59,16680426,12.59,12.35,12.37,7636,-1.5127,207399804.06
"	000831",*ST五稀,2017-02-20,深交所,12.37,12.36,13740433,12.57,12.32,12.49,6187,0.9701,170858789.48
"	000831",*ST五稀,2017-02-21,深交所,12.49,12.5,17253567,12.66,12.43,12.48,7338,-0.0801,216167337.88
"	000831",*ST五稀,2017-02-22,深交所,12.48,12.49,14654792,12.65,12.38,12.43,6634,-0.4006,182970937.99
"	000831",*ST五稀,2017-02-23,深交所,12.43,12.41,14847932,12.62,12.39,12.49,6734,0.4827,185684843.91
"	000831",*ST五稀,2017-02-24,深交所,12.49,12.45,9192620,12.56,12.4,12.49,4214,0,114725757.2
"	000831",*ST五稀,2017-02-27,深交所,12.49,12.53,14872927,12.77,12.47,12.51,7451,0.1601,187764999.79
"	000831",*ST五稀,2017-02-28,深交所,12.51,12.48,9937388,12.67,12.47,12.61,4837,0.7994,124998784.58
"	000831",*ST五稀,2017-03-01,深交所,12.61,12.6,25560657,13.05,12.58,12.91,12813,2.3791,329303685.65
"	000831",*ST五稀,2017-03-02,深交所,12.91,12.92,22768219,13.11,12.85,12.86,11765,-0.3873,295720359.03
"	000831",*ST五稀,2017-03-03,深交所,12.86,12.76,12142222,12.97,12.72,12.93,6436,0.5443,156349434.95
"	000831",*ST五稀,2017-03-06,深交所,12.93,13.01,17759770,13.28,12.92,13.25,9558,2.4749,232710362.49
